 Date Time CO
 -------- 03:00 0.08
 -------- 04:00 0.08
 16.04.13 05:00 0.08
 -------- 06:00 0.08
 -------- 07:00 0.08
 -------- 08:00 0.08
 -------- 09:00 0.08
 16.04.13 10:00 0.08
 -------- 11:00 0.08
 -------- 12:00 0.09
 -------- 13:00 0.08
 -------- 14:00 0.07
 16.04.13 15:00 0.04
 -------- 16:00 0.04
 -------- 17:00 0.04
 -------- 18:00 0.06
 -------- 19:00 0.06
 16.04.13 20:00 0.06
 -------- 21:00 0.06
 -------- 22:00 0.04
 -------- 23:00 0.04
 -------- 00:00 0.04
 17.04.13 01:00 0.04
 -------- 02:00 0.05
 -------- 03:00 0.06
 -------- 04:00 0.06
 -------- 05:00 0.06
 17.04.13 06:00 0.06
 -------- 07:00 0.06
 -------- 08:00 0.08
 -------- 09:00 0.08
 -------- 10:00 0.08
 17.04.13 11:00 0.09
 -------- 12:00 0.10
 -------- 13:00 0.10
 -------- 14:00 0.08
 -------- 15:00 0.08
 17.04.13 16:00 0.08
 -------- 17:00 0.08
 -------- 18:00 0.06
 -------- 19:00 0.06
 -------- 20:00 0.06
 17.04.13 21:00 0.04
 -------- 22:00 0.04
 -------- 23:00 0.04
