 Date Time CO
 -------- 03:00 0.04
 -------- 04:00 0.04
 12.02.13 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 12.02.13 10:00 0.04
 -------- 11:00 0.04
 -------- 12:00 0.03
 -------- 13:00 0.02
 -------- 14:00 0.02
 12.02.13 15:00 0.02
 -------- 16:00 0.02
 -------- 17:00 0.02
 -------- 18:00 0.02
 -------- 19:00 0.02
 12.02.13 20:00 0.03
 -------- 21:00 0.03
 -------- 22:00 0.02
 -------- 23:00 0.02
 -------- 00:00 0.02
 13.02.13 01:00 0.02
 -------- 02:00 0.02
 -------- 03:00 0.02
 -------- 04:00 0.04
 -------- 05:00 0.04
 13.02.13 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.06
 -------- 10:00 0.06
 13.02.13 11:00 0.06
 -------- 12:00 0.06
 -------- 13:00 0.06
 -------- 14:00 0.06
 -------- 15:00 0.06
 13.02.13 16:00 0.05
 -------- 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 13.02.13 21:00 0.04
 -------- 22:00 0.05
