 Date Time CO
 -------- 15:00 0.19
 -------- 16:00 0.13
 24.01.13 17:00 0.09
 -------- 18:00 0.07
 -------- 19:00 0.05
 -------- 20:00 0.04
 -------- 21:00 0.04
 24.01.13 22:00 0.02
 -------- 23:00 0.02
 -------- 00:00 0.02
 -------- 01:00 0.02
 -------- 02:00 0.04
 25.01.13 03:00 0.04
 -------- 04:00 0.04
 -------- 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 25.01.13 08:00 0.04
 -------- 09:00 0.04
 -------- 10:00 0.02
 -------- 11:00 0.02
 -------- 12:00 0.03
 25.01.13 13:00 0.04
 -------- 14:00 0.04
 -------- 15:00 0.04
 -------- 16:00 0.04
 -------- 17:00 0.04
 25.01.13 18:00 0.04
 -------- 19:00 0.05
 -------- 20:00 0.06
 -------- 21:00 0.07
 -------- 22:00 0.06
 25.01.13 23:00 0.06
 -------- 00:00 0.05
 -------- 01:00 0.06
 -------- 02:00 0.06
 -------- 03:00 0.06
 26.01.13 04:00 0.06
 -------- 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.05
 26.01.13 09:00 0.04
 -------- 10:00 0.04
