 Date Time CO
 -------- 03:00 0.04
 -------- 04:00 0.04
 27.01.13 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 27.01.13 10:00 0.04
 -------- 11:00 0.04
 -------- 12:00 0.04
 -------- 13:00 0.04
 -------- 14:00 0.05
 27.01.13 15:00 0.05
 -------- 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.06
 -------- 19:00 0.06
 27.01.13 20:00 0.08
 -------- 21:00 0.08
 -------- 22:00 0.08
 -------- 23:00 0.09
 -------- 00:00 0.10
 28.01.13 01:00 0.13
 -------- 02:00 0.20
 -------- 03:00 0.25
 -------- 04:00 0.26
 -------- 05:00 0.23
 28.01.13 06:00 0.21
 -------- 07:00 0.18
 -------- 08:00 0.16
 -------- 09:00 0.16
 -------- 10:00 0.13
 28.01.13 11:00 0.11
 -------- 12:00 0.10
 -------- 13:00 0.09
 -------- 14:00 0.08
 -------- 15:00 0.06
 28.01.13 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.06
 -------- 19:00 0.06
 -------- 20:00 0.08
 28.01.13 21:00 0.08
 -------- 22:00 0.06
