 Date Time CO
 -------- 03:00 0.04
 -------- 04:00 0.04
 04.01.13 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 04.01.13 10:00 0.04
 -------- 11:00 0.04
 -------- 12:00 0.04
 -------- 13:00 0.04
 -------- 14:00 0.04
 04.01.13 15:00 0.04
 -------- 16:00 0.04
 -------- 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 04.01.13 20:00 0.04
 -------- 21:00 0.04
 -------- 22:00 0.04
 -------- 23:00 0.04
 -------- 00:00 0.04
 05.01.13 01:00 0.06
 -------- 02:00 0.06
 -------- 03:00 0.06
 -------- 04:00 0.08
 -------- 05:00 0.08
 05.01.13 06:00 0.08
 -------- 07:00 0.08
 -------- 08:00 0.08
 -------- 09:00 0.08
 -------- 10:00 0.08
 05.01.13 11:00 0.08
 -------- 12:00 0.08
 -------- 13:00 0.06
 -------- 14:00 0.06
 -------- 15:00 0.04
 05.01.13 16:00 0.04
 -------- 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 05.01.13 21:00 0.04
 -------- 22:00 0.04
