 Date Time CO
 -------- 14:00 0.04
 -------- 15:00 0.04
 17.01.13 16:00 0.04
 -------- 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 17.01.13 21:00 0.04
 -------- 22:00 0.04
 -------- 23:00 0.04
 -------- 00:00 0.04
 -------- 01:00 0.04
 18.01.13 02:00 0.04
 -------- 03:00 0.04
 -------- 04:00 0.04
 -------- 05:00 0.04
 -------- 06:00 0.04
 18.01.13 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 -------- 10:00 0.04
 -------- 11:00 0.04
 18.01.13 12:00 0.04
 -------- 13:00 0.04
 -------- 14:00 0.04
 -------- 15:00 0.04
 -------- 16:00 0.04
 18.01.13 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 -------- 21:00 0.04
 18.01.13 22:00 0.04
 -------- 23:00 0.04
 -------- 00:00 0.04
 -------- 01:00 0.04
 -------- 02:00 0.04
 19.01.13 03:00 0.04
 -------- 04:00 0.04
 -------- 05:00 0.04
 -------- 06:00 0.05
 -------- 07:00 0.06
 19.01.13 08:00 0.06
 -------- 09:00 0.06
