 Date Time CO
 -------- 03:00 0.08
 -------- 04:00 0.10
 14.03.13 05:00 0.10
 -------- 06:00 0.11
 -------- 07:00 0.12
 -------- 08:00 0.12
 -------- 09:00 0.11
 14.03.13 10:00 0.10
 -------- 11:00 0.10
 -------- 12:00 0.09
 -------- 13:00 0.08
 -------- 14:00 0.08
 14.03.13 15:00 0.08
 -------- 16:00 0.08
 -------- 17:00 0.08
 -------- 18:00 0.08
 -------- 19:00 0.08
 14.03.13 20:00 0.08
 -------- 21:00 0.08
 -------- 22:00 0.08
 -------- 23:00 0.08
 -------- 00:00 0.07
 15.03.13 01:00 0.06
 -------- 02:00 0.06
 -------- 03:00 0.06
 -------- 04:00 0.06
 -------- 05:00 0.06
 15.03.13 06:00 0.06
 -------- 07:00 0.06
 -------- 08:00 0.07
 -------- 09:00 0.06
 -------- 10:00 0.06
 15.03.13 11:00 0.06
 -------- 12:00 0.06
 -------- 13:00 0.07
 -------- 14:00 0.08
 -------- 15:00 0.08
 15.03.13 16:00 0.08
 -------- 17:00 0.07
 -------- 18:00 0.07
 -------- 19:00 0.06
 -------- 20:00 0.05
 15.03.13 21:00 0.04
 -------- 22:00 0.04
