 Date Time CO
 -------- 03:00 0.02
 -------- 04:00 0.02
 23.10.12 05:00 0.02
 -------- 06:00 0.02
 -------- 07:00 0.02
 -------- 08:00 0.02
 -------- 09:00 0.02
 23.10.12 10:00 0.02
 -------- 11:00 0.02
 -------- 12:00 0.02
 -------- 13:00 0.02
 -------- 14:00 0.02
 23.10.12 15:00 0.03
 -------- 16:00 0.04
 -------- 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 23.10.12 20:00 0.04
 -------- 21:00 0.04
 -------- 22:00 0.04
 -------- 23:00 0.04
 -------- 00:00 0.04
 24.10.12 01:00 0.04
 -------- 02:00 0.04
 -------- 03:00 0.04
 -------- 04:00 0.04
 -------- 05:00 0.04
 24.10.12 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 -------- 10:00 0.04
 24.10.12 11:00 0.04
 -------- 12:00 0.04
 -------- 13:00 0.04
 -------- 14:00 0.04
 -------- 15:00 0.04
 24.10.12 16:00 0.04
 -------- 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 24.10.12 21:00 0.04
