 Date Time CO
 -------- 03:00 0.02
 -------- 04:00 0.02
 05.04.13 05:00 0.03
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 05.04.13 10:00 0.04
 -------- 11:00 0.04
 -------- 12:00 0.04
 -------- 13:00 0.04
 -------- 14:00 0.04
 05.04.13 15:00 0.05
 -------- 16:00 0.04
 -------- 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 05.04.13 20:00 0.05
 -------- 21:00 0.05
 -------- 22:00 0.05
 -------- 23:00 0.05
 -------- 00:00 0.06
 06.04.13 01:00 0.06
 -------- 02:00 0.06
 -------- 03:00 0.06
 -------- 04:00 0.06
 -------- 05:00 0.06
 06.04.13 06:00 0.06
 -------- 07:00 0.05
 -------- 08:00 0.04
 -------- 09:00 0.04
 -------- 10:00 0.05
 06.04.13 11:00 0.08
 -------- 12:00 0.10
 -------- 13:00 0.09
 -------- 14:00 0.08
 -------- 15:00 0.08
 06.04.13 16:00 0.08
 -------- 17:00 0.07
 -------- 18:00 0.06
 -------- 19:00 0.06
 -------- 20:00 0.07
 06.04.13 21:00 0.08
 -------- 22:00 0.08
 -------- 23:00 0.07
