 Date Time CO
 -------- 03:00 0.06
 -------- 04:00 0.06
 15.03.13 05:00 0.06
 -------- 06:00 0.06
 -------- 07:00 0.06
 -------- 08:00 0.07
 -------- 09:00 0.06
 15.03.13 10:00 0.06
 -------- 11:00 0.06
 -------- 12:00 0.06
 -------- 13:00 0.07
 -------- 14:00 0.08
 15.03.13 15:00 0.08
 -------- 16:00 0.08
 -------- 17:00 0.07
 -------- 18:00 0.07
 -------- 19:00 0.06
 15.03.13 20:00 0.05
 -------- 21:00 0.04
 -------- 22:00 0.04
 -------- 23:00 0.04
 -------- 00:00 0.04
 16.03.13 01:00 0.04
 -------- 02:00 0.04
 -------- 03:00 0.04
 -------- 04:00 0.05
 -------- 05:00 0.06
 16.03.13 06:00 0.06
 -------- 07:00 0.06
 -------- 08:00 0.06
 -------- 09:00 0.06
 -------- 10:00 0.06
 16.03.13 11:00 0.06
 -------- 12:00 0.06
 -------- 13:00 0.06
 -------- 14:00 0.06
 -------- 15:00 0.06
 16.03.13 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 16.03.13 21:00 0.04
 -------- 22:00 0.04
