 Date Time CO
 -------- 03:00 0.16
 -------- 04:00 0.16
 24.12.12 05:00 0.16
 -------- 06:00 0.15
 -------- 07:00 0.13
 -------- 08:00 0.12
 -------- 09:00 0.12
 24.12.12 10:00 0.12
 -------- 11:00 0.14
 -------- 12:00 0.15
 -------- 13:00 0.16
 -------- 14:00 0.16
 24.12.12 15:00 0.17
 -------- 16:00 0.18
 -------- 17:00 0.18
 -------- 18:00 0.18
 -------- 19:00 0.18
 24.12.12 20:00 0.16
 -------- 21:00 0.16
 -------- 22:00 0.15
 -------- 23:00 0.14
 -------- 00:00 0.12
 25.12.12 01:00 0.10
 -------- 02:00 0.09
 -------- 03:00 0.07
 -------- 04:00 0.06
 -------- 05:00 0.06
 25.12.12 06:00 0.06
 -------- 07:00 0.07
 -------- 08:00 0.08
 -------- 09:00 0.08
 -------- 10:00 0.08
 25.12.12 11:00 0.08
 -------- 12:00 0.08
 -------- 13:00 0.08
 -------- 14:00 0.08
 -------- 15:00 0.08
 25.12.12 16:00 0.08
 -------- 17:00 0.07
 -------- 18:00 0.08
 -------- 19:00 0.08
 -------- 20:00 0.08
 25.12.12 21:00 0.08
 -------- 22:00 0.08
