 Date Time CO
 -------- 15:00 0.07
 -------- 16:00 0.05
 28.03.13 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.03
 -------- 20:00 0.02
 -------- 21:00 0.02
 28.03.13 22:00 0.02
 -------- 23:00 0.04
 -------- 00:00 0.04
 -------- 01:00 0.04
 -------- 02:00 0.05
 29.03.13 03:00 0.06
 -------- 04:00 0.06
 -------- 05:00 0.06
 -------- 06:00 0.05
 -------- 07:00 0.04
 29.03.13 08:00 0.04
 -------- 09:00 0.06
 -------- 10:00 0.06
 -------- 11:00 0.06
 -------- 12:00 0.05
 29.03.13 13:00 0.04
 -------- 14:00 0.04
 -------- 15:00 0.04
 -------- 16:00 0.02
 -------- 17:00 0.02
 29.03.13 18:00 0.02
 -------- 19:00 0.02
 -------- 20:00 0.02
 -------- 21:00 0.02
 -------- 22:00 0.03
 29.03.13 23:00 0.04
 -------- 00:00 0.04
 -------- 01:00 0.04
 -------- 02:00 0.04
 -------- 03:00 0.06
 30.03.13 04:00 0.07
 -------- 05:00 0.08
 -------- 06:00 0.09
 -------- 07:00 0.11
 -------- 08:00 0.14
 30.03.13 09:00 0.15
 -------- 10:00 0.13
