 Date Time CO
 -------- 03:00 0.04
 -------- 04:00 0.04
 23.01.13 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 23.01.13 10:00 0.06
 -------- 11:00 0.07
 -------- 12:00 0.10
 -------- 13:00 0.13
 -------- 14:00 0.12
 23.01.13 15:00 0.09
 -------- 16:00 0.08
 -------- 17:00 0.07
 -------- 18:00 0.08
 -------- 19:00 0.07
 23.01.13 20:00 0.06
 -------- 21:00 0.06
 -------- 22:00 0.05
 -------- 23:00 0.04
 -------- 00:00 0.04
 24.01.13 01:00 0.04
 -------- 02:00 0.04
 -------- 03:00 0.04
 -------- 04:00 0.04
 -------- 05:00 0.04
 24.01.13 06:00 0.06
 -------- 07:00 0.06
 -------- 08:00 0.06
 -------- 09:00 0.06
 -------- 10:00 0.07
 24.01.13 11:00 0.12
 -------- 12:00 0.17
 -------- 13:00 0.21
 -------- 14:00 0.22
 -------- 15:00 0.19
 24.01.13 16:00 0.13
 -------- 17:00 0.09
 -------- 18:00 0.07
 -------- 19:00 0.05
 -------- 20:00 0.04
 24.01.13 21:00 0.04
 -------- 22:00 0.02
