 Date Time CO
 -------- 15:00 0.06
 -------- 16:00 0.06
 28.12.12 17:00 0.05
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 -------- 21:00 0.04
 28.12.12 22:00 0.04
 -------- 23:00 0.04
 -------- 00:00 0.03
 -------- 01:00 0.03
 -------- 02:00 0.02
 29.12.12 03:00 0.02
 -------- 04:00 0.02
 -------- 05:00 0.02
 -------- 06:00 0.02
 -------- 07:00 0.02
 29.12.12 08:00 0.02
 -------- 09:00 0.02
 -------- 10:00 0.02
 -------- 11:00 0.03
 -------- 12:00 0.02
 29.12.12 13:00 0.02
 -------- 14:00 0.03
 -------- 15:00 0.04
 -------- 16:00 0.04
 -------- 17:00 0.04
 29.12.12 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 -------- 21:00 0.04
 -------- 22:00 0.04
 29.12.12 23:00 0.04
 -------- 00:00 0.04
 -------- 01:00 0.02
 -------- 02:00 0.02
 -------- 03:00 0.02
 30.12.12 04:00 0.02
 -------- 05:00 0.02
 -------- 06:00 0.02
 -------- 07:00 0.03
 -------- 08:00 0.04
 30.12.12 09:00 0.04
 -------- 10:00 0.05
