 Date Time CO
 -------- 03:00 0.04
 -------- 04:00 0.04
 07.03.13 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.05
 -------- 09:00 0.05
 07.03.13 10:00 0.05
 -------- 11:00 0.04
 -------- 12:00 0.04
 -------- 13:00 0.06
 -------- 14:00 0.06
 07.03.13 15:00 0.06
 -------- 16:00 0.05
 -------- 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 07.03.13 20:00 0.04
 -------- 21:00 0.04
 -------- 22:00 0.04
 -------- 23:00 0.03
 -------- 00:00 0.02
 08.03.13 01:00 0.02
 -------- 02:00 0.02
 -------- 03:00 0.02
 -------- 04:00 0.02
 -------- 05:00 0.02
 08.03.13 06:00 0.03
 -------- 07:00 0.02
 -------- 08:00 0.05
 -------- 09:00 0.07
 -------- 10:00 0.09
 08.03.13 11:00 0.09
 -------- 12:00 0.07
 -------- 13:00 0.05
 -------- 14:00 0.04
 -------- 15:00 0.03
 08.03.13 16:00 0.03
 -------- 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 08.03.13 21:00 0.04
 -------- 22:00 0.04
