 Date Time CO
 -------- 03:00 0.07
 -------- 04:00 0.06
 25.12.12 05:00 0.06
 -------- 06:00 0.06
 -------- 07:00 0.07
 -------- 08:00 0.08
 -------- 09:00 0.08
 25.12.12 10:00 0.08
 -------- 11:00 0.08
 -------- 12:00 0.08
 -------- 13:00 0.08
 -------- 14:00 0.08
 25.12.12 15:00 0.08
 -------- 16:00 0.08
 -------- 17:00 0.07
 -------- 18:00 0.08
 -------- 19:00 0.08
 25.12.12 20:00 0.08
 -------- 21:00 0.08
 -------- 22:00 0.08
 -------- 23:00 0.08
 -------- 00:00 0.08
 26.12.12 01:00 0.06
 -------- 02:00 0.06
 -------- 03:00 0.06
 -------- 04:00 0.06
 -------- 05:00 0.06
 26.12.12 06:00 0.06
 -------- 07:00 0.06
 -------- 08:00 0.06
 -------- 09:00 0.06
 -------- 10:00 0.07
 26.12.12 11:00 0.08
 -------- 12:00 0.07
 -------- 13:00 0.06
 -------- 14:00 0.06
 -------- 15:00 0.06
 26.12.12 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.06
 -------- 19:00 0.06
 -------- 20:00 0.06
 26.12.12 21:00 0.06
 -------- 22:00 0.06
