 Date Time CO
 -------- 03:00 0.04
 -------- 04:00 0.04
 14.04.13 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 14.04.13 10:00 0.04
 -------- 11:00 0.04
 -------- 12:00 0.04
 -------- 13:00 0.05
 -------- 14:00 0.06
 14.04.13 15:00 0.06
 -------- 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.06
 -------- 19:00 0.06
 14.04.13 20:00 0.04
 -------- 21:00 0.04
 -------- 22:00 0.04
 -------- 23:00 0.04
 -------- 00:00 0.05
 15.04.13 01:00 0.07
 -------- 02:00 0.09
 -------- 03:00 0.11
 -------- 04:00 0.15
 -------- 05:00 0.17
 15.04.13 06:00 0.18
 -------- 07:00 0.18
 -------- 08:00 0.17
 -------- 09:00 0.17
 -------- 10:00 0.16
 15.04.13 11:00 0.16
 -------- 12:00 0.14
 -------- 13:00 0.14
 -------- 14:00 0.14
 -------- 15:00 0.13
 15.04.13 16:00 0.10
 -------- 17:00 0.10
 -------- 18:00 0.10
 -------- 19:00 0.09
 -------- 20:00 0.08
