 Date Time CO
 -------- 03:00 0.06
 -------- 04:00 0.06
 26.01.13 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.05
 -------- 09:00 0.04
 26.01.13 10:00 0.04
 -------- 11:00 0.05
 -------- 12:00 0.06
 -------- 13:00 0.06
 -------- 14:00 0.06
 26.01.13 15:00 0.06
 -------- 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.06
 -------- 19:00 0.06
 26.01.13 20:00 0.06
 -------- 21:00 0.06
 -------- 22:00 0.06
 -------- 23:00 0.05
 -------- 00:00 0.04
 27.01.13 01:00 0.04
 -------- 02:00 0.04
 -------- 03:00 0.04
 -------- 04:00 0.04
 -------- 05:00 0.04
 27.01.13 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 -------- 10:00 0.04
 27.01.13 11:00 0.04
 -------- 12:00 0.04
 -------- 13:00 0.04
 -------- 14:00 0.05
 -------- 15:00 0.05
 27.01.13 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.06
 -------- 19:00 0.06
 -------- 20:00 0.08
 27.01.13 21:00 0.08
 -------- 22:00 0.08
