 Date Time CO
 -------- 15:00 0.04
 -------- 16:00 0.06
 05.03.13 17:00 0.06
 -------- 18:00 0.06
 -------- 19:00 0.06
 -------- 20:00 0.06
 -------- 21:00 0.06
 05.03.13 22:00 0.06
 -------- 23:00 0.07
 -------- 00:00 0.09
 -------- 01:00 0.11
 -------- 02:00 0.14
 06.03.13 03:00 0.16
 -------- 04:00 0.17
 -------- 05:00 0.18
 -------- 06:00 0.18
 -------- 07:00 0.18
 06.03.13 08:00 0.18
 -------- 09:00 0.17
 -------- 10:00 0.15
 -------- 11:00 0.13
 -------- 12:00 0.12
 06.03.13 13:00 0.10
 -------- 14:00 0.10
 -------- 15:00 0.08
 -------- 16:00 0.08
 -------- 17:00 0.08
 06.03.13 18:00 0.08
 -------- 19:00 0.06
 -------- 20:00 0.06
 -------- 21:00 0.06
 -------- 22:00 0.06
 06.03.13 23:00 0.05
 -------- 00:00 0.05
 -------- 01:00 0.05
 -------- 02:00 0.04
 -------- 03:00 0.04
 07.03.13 04:00 0.04
 -------- 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.05
 07.03.13 09:00 0.05
 -------- 10:00 0.05
