 Date Time CO
 -------- 03:00 0.06
 -------- 04:00 0.06
 26.12.12 05:00 0.06
 -------- 06:00 0.06
 -------- 07:00 0.06
 -------- 08:00 0.06
 -------- 09:00 0.06
 26.12.12 10:00 0.07
 -------- 11:00 0.08
 -------- 12:00 0.07
 -------- 13:00 0.06
 -------- 14:00 0.06
 26.12.12 15:00 0.06
 -------- 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.06
 -------- 19:00 0.06
 26.12.12 20:00 0.06
 -------- 21:00 0.06
 -------- 22:00 0.06
 -------- 23:00 0.06
 -------- 00:00 0.06
 27.12.12 01:00 0.05
 -------- 02:00 0.04
 -------- 03:00 0.04
 -------- 04:00 0.04
 -------- 05:00 0.04
 27.12.12 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.06
 -------- 10:00 0.06
 27.12.12 11:00 0.06
 -------- 12:00 0.07
 -------- 13:00 0.08
 -------- 14:00 0.08
 -------- 15:00 0.10
 27.12.12 16:00 0.10
 -------- 17:00 0.10
 -------- 18:00 0.12
 -------- 19:00 0.12
 -------- 20:00 0.13
 27.12.12 21:00 0.12
 -------- 22:00 0.11
