 Date Time CO
 -------- 15:00 0.02
 -------- 16:00 0.02
 02.03.13 17:00 0.02
 -------- 18:00 0.02
 -------- 19:00 0.02
 -------- 20:00 0.03
 -------- 21:00 0.04
 02.03.13 22:00 0.04
 -------- 23:00 0.05
 -------- 00:00 0.06
 -------- 01:00 0.06
 -------- 02:00 0.06
 03.03.13 03:00 0.06
 -------- 04:00 0.07
 -------- 05:00 0.08
 -------- 06:00 0.08
 -------- 07:00 0.08
 03.03.13 08:00 0.08
 -------- 09:00 0.08
 -------- 10:00 0.08
 -------- 11:00 0.08
 -------- 12:00 0.08
 03.03.13 13:00 0.07
 -------- 14:00 0.06
 -------- 15:00 0.06
 -------- 16:00 0.04
 -------- 17:00 0.04
 03.03.13 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.03
 -------- 21:00 0.02
 -------- 22:00 0.02
 03.03.13 23:00 0.02
 -------- 00:00 0.02
 -------- 01:00 0.02
 -------- 02:00 0.03
 -------- 03:00 0.02
 04.03.13 04:00 0.02
 -------- 05:00 0.02
 -------- 06:00 0.03
 -------- 07:00 0.04
 -------- 08:00 0.04
 04.03.13 09:00 0.04
 -------- 10:00 0.04
