 Date Time CO
 -------- 03:00 0.06
 -------- 04:00 0.06
 24.11.12 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 24.11.12 10:00 0.04
 -------- 11:00 0.04
 -------- 12:00 0.04
 -------- 13:00 0.06
 -------- 14:00 0.08
 24.11.12 15:00 0.08
 -------- 16:00 0.08
 -------- 17:00 0.09
 -------- 18:00 0.10
 -------- 03:00 0.06
 25.11.12 05:00 0.06
 -------- 06:00 0.05
 -------- 11:00 0.06
 -------- 12:00 0.04
 -------- 13:00 0.04
 25.11.12 14:00 0.04
 -------- 15:00 0.05
 -------- 18:00 0.06
 -------- 19:00 0.07
 -------- 20:00 0.06
 25.11.12 21:00 0.06
