 Date Time CO
 -------- 15:00 0.06
 -------- 16:00 0.06
 30.01.13 17:00 0.07
 -------- 18:00 0.08
 -------- 19:00 0.07
 -------- 20:00 0.06
 -------- 21:00 0.06
 30.01.13 22:00 0.07
 -------- 23:00 0.06
 -------- 00:00 0.05
 -------- 01:00 0.04
 -------- 02:00 0.04
 31.01.13 03:00 0.04
 -------- 04:00 0.04
 -------- 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 31.01.13 08:00 0.05
 -------- 09:00 0.04
 -------- 10:00 0.04
 -------- 11:00 0.04
 -------- 12:00 0.04
 31.01.13 13:00 0.04
 -------- 14:00 0.04
 -------- 15:00 0.04
 -------- 16:00 0.04
 -------- 17:00 0.04
 31.01.13 18:00 0.05
 -------- 19:00 0.04
 -------- 20:00 0.04
 -------- 21:00 0.04
 -------- 22:00 0.04
 31.01.13 23:00 0.04
 -------- 00:00 0.04
 -------- 01:00 0.04
 -------- 02:00 0.04
 -------- 03:00 0.04
 01.02.13 04:00 0.04
 -------- 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 01.02.13 09:00 0.04
 -------- 10:00 0.04
