 Date Time CO
 -------- 03:00 0.06
 -------- 04:00 0.06
 15.02.13 05:00 0.06
 -------- 06:00 0.06
 -------- 07:00 0.08
 -------- 08:00 0.09
 -------- 09:00 0.08
 15.02.13 10:00 0.08
 -------- 11:00 0.08
 -------- 12:00 0.09
 -------- 13:00 0.10
 -------- 14:00 0.10
 15.02.13 15:00 0.09
 -------- 16:00 0.08
 -------- 17:00 0.08
 -------- 18:00 0.07
 -------- 19:00 0.06
 15.02.13 20:00 0.06
 -------- 21:00 0.06
 -------- 22:00 0.06
 -------- 23:00 0.07
 -------- 00:00 0.08
 16.02.13 01:00 0.08
 -------- 02:00 0.08
 -------- 03:00 0.08
 -------- 04:00 0.09
 -------- 05:00 0.10
 16.02.13 06:00 0.10
 -------- 07:00 0.10
 -------- 08:00 0.10
 -------- 09:00 0.10
 -------- 10:00 0.10
 16.02.13 11:00 0.10
 -------- 12:00 0.10
 -------- 13:00 0.10
 -------- 14:00 0.10
 -------- 15:00 0.10
 16.02.13 16:00 0.09
 -------- 17:00 0.08
 -------- 18:00 0.08
 -------- 19:00 0.08
 -------- 20:00 0.08
 16.02.13 21:00 0.08
 -------- 22:00 0.07
