 Date Time CO
 -------- 03:00 0.04
 -------- 04:00 0.04
 24.01.13 05:00 0.04
 -------- 06:00 0.06
 -------- 07:00 0.06
 -------- 08:00 0.06
 -------- 09:00 0.06
 24.01.13 10:00 0.07
 -------- 11:00 0.12
 -------- 12:00 0.17
 -------- 13:00 0.21
 -------- 14:00 0.22
 24.01.13 15:00 0.19
 -------- 16:00 0.13
 -------- 17:00 0.09
 -------- 18:00 0.07
 -------- 19:00 0.05
 24.01.13 20:00 0.04
 -------- 21:00 0.04
 -------- 22:00 0.02
 -------- 23:00 0.02
 -------- 00:00 0.02
 25.01.13 01:00 0.02
 -------- 02:00 0.04
 -------- 03:00 0.04
 -------- 04:00 0.04
 -------- 05:00 0.04
 25.01.13 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 -------- 10:00 0.02
 25.01.13 11:00 0.02
 -------- 12:00 0.03
 -------- 13:00 0.04
 -------- 14:00 0.04
 -------- 15:00 0.04
 25.01.13 16:00 0.04
 -------- 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.05
 -------- 20:00 0.06
 25.01.13 21:00 0.07
 -------- 22:00 0.06
