 Date Time CO
 -------- 15:00 0.02
 -------- 16:00 0.02
 26.03.13 17:00 0.02
 -------- 18:00 0.02
 -------- 19:00 0.02
 -------- 20:00 0.02
 -------- 21:00 0.02
 26.03.13 22:00 0.02
 -------- 23:00 0.04
 -------- 00:00 0.03
 -------- 01:00 0.04
 -------- 02:00 0.03
 27.03.13 03:00 0.02
 -------- 04:00 0.02
 -------- 05:00 0.02
 -------- 06:00 0.03
 -------- 07:00 0.04
 27.03.13 08:00 0.04
 -------- 09:00 0.04
 -------- 10:00 0.05
 -------- 11:00 0.04
 -------- 12:00 0.04
 27.03.13 13:00 0.03
 -------- 14:00 0.02
 -------- 15:00 0.02
 -------- 16:00 0.02
 -------- 17:00 0.02
 27.03.13 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 -------- 21:00 0.04
 -------- 22:00 0.04
 27.03.13 23:00 0.04
 -------- 00:00 0.04
 -------- 01:00 0.04
 -------- 02:00 0.04
 -------- 03:00 0.04
 28.03.13 04:00 0.04
 -------- 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.05
 28.03.13 09:00 0.09
 -------- 10:00 0.11
