 Date Time CO
 -------- 03:00 0.06
 -------- 04:00 0.06
 21.01.13 05:00 0.04
 -------- 06:00 0.05
 -------- 07:00 0.06
 -------- 08:00 0.06
 -------- 09:00 0.06
 21.01.13 10:00 0.06
 -------- 11:00 0.06
 -------- 12:00 0.06
 -------- 13:00 0.04
 -------- 14:00 0.04
 21.01.13 15:00 0.04
 -------- 16:00 0.04
 -------- 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 21.01.13 20:00 0.05
 -------- 21:00 0.06
 -------- 22:00 0.05
 -------- 23:00 0.04
 -------- 00:00 0.04
 22.01.13 01:00 0.02
 -------- 02:00 0.02
 -------- 03:00 0.02
 -------- 04:00 0.02
 -------- 05:00 0.02
 22.01.13 06:00 0.02
 -------- 07:00 0.02
 -------- 08:00 0.02
 -------- 09:00 0.04
 -------- 10:00 0.04
 22.01.13 11:00 0.04
 -------- 12:00 0.05
 -------- 13:00 0.06
 -------- 14:00 0.07
 -------- 15:00 0.09
 22.01.13 16:00 0.07
 -------- 17:00 0.06
 -------- 18:00 0.06
 -------- 19:00 0.04
 -------- 20:00 0.06
 22.01.13 21:00 0.06
 -------- 22:00 0.06
