 Date Time CO
 -------- 15:00 0.03
 -------- 16:00 0.02
 24.03.13 17:00 0.02
 -------- 18:00 0.02
 -------- 19:00 0.02
 -------- 20:00 0.04
 -------- 21:00 0.04
 24.03.13 22:00 0.06
 -------- 23:00 0.05
 -------- 00:00 0.04
 -------- 01:00 0.04
 -------- 02:00 0.02
 25.03.13 03:00 0.02
 -------- 04:00 0.02
 -------- 05:00 0.02
 -------- 06:00 0.02
 -------- 07:00 0.02
 25.03.13 08:00 0.03
 -------- 09:00 0.04
 -------- 10:00 0.04
 -------- 11:00 0.04
 -------- 12:00 0.04
 25.03.13 13:00 0.04
 -------- 14:00 0.04
 -------- 15:00 0.04
 -------- 16:00 0.04
 -------- 17:00 0.04
 25.03.13 18:00 0.04
 -------- 19:00 0.03
 -------- 20:00 0.03
 -------- 21:00 0.02
 -------- 22:00 0.02
 25.03.13 23:00 0.02
 -------- 00:00 0.02
 -------- 01:00 0.02
 -------- 02:00 0.02
 -------- 03:00 0.02
 26.03.13 04:00 0.03
 -------- 05:00 0.02
 -------- 06:00 0.02
 -------- 07:00 0.02
 -------- 08:00 0.02
 26.03.13 09:00 0.02
 -------- 10:00 0.02
