 Date Time CO
 -------- 03:00 0.06
 -------- 04:00 0.06
 17.02.13 05:00 0.06
 -------- 06:00 0.06
 -------- 07:00 0.06
 -------- 08:00 0.07
 -------- 09:00 0.14
 17.02.13 10:00 0.17
 -------- 11:00 0.13
 -------- 12:00 0.11
 -------- 13:00 0.08
 -------- 14:00 0.07
 17.02.13 15:00 0.06
 -------- 16:00 0.05
 -------- 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 17.02.13 20:00 0.05
 -------- 21:00 0.06
 -------- 22:00 0.06
 -------- 23:00 0.04
 -------- 00:00 0.04
 18.02.13 01:00 0.04
 -------- 02:00 0.04
 -------- 03:00 0.04
 -------- 04:00 0.02
 -------- 05:00 0.02
 18.02.13 06:00 0.03
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 -------- 10:00 0.04
 18.02.13 11:00 0.04
 -------- 12:00 0.04
 -------- 13:00 0.04
 -------- 14:00 0.04
 -------- 15:00 0.04
 18.02.13 16:00 0.04
 -------- 17:00 0.04
 -------- 18:00 0.05
 -------- 19:00 0.06
 -------- 20:00 0.08
 18.02.13 21:00 0.08
 -------- 22:00 0.06
