 Date Time CO
 -------- 03:00 0.06
 -------- 04:00 0.04
 12.01.13 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 12.01.13 10:00 0.05
 -------- 11:00 0.06
 -------- 12:00 0.06
 -------- 13:00 0.07
 -------- 14:00 0.08
 12.01.13 15:00 0.09
 -------- 16:00 0.10
 -------- 17:00 0.10
 -------- 18:00 0.10
 -------- 19:00 0.10
 12.01.13 20:00 0.10
 -------- 21:00 0.11
 -------- 22:00 0.13
 -------- 23:00 0.14
 -------- 00:00 0.14
 13.01.13 01:00 0.14
 -------- 02:00 0.13
 -------- 03:00 0.12
 -------- 04:00 0.10
 -------- 05:00 0.09
 13.01.13 06:00 0.08
 -------- 07:00 0.06
 -------- 08:00 0.06
 -------- 09:00 0.07
 -------- 10:00 0.08
 13.01.13 11:00 0.08
 -------- 12:00 0.08
 -------- 13:00 0.08
 -------- 14:00 0.08
 -------- 15:00 0.08
 13.01.13 16:00 0.08
 -------- 17:00 0.08
 -------- 18:00 0.08
 -------- 19:00 0.08
 -------- 20:00 0.08
 13.01.13 21:00 0.08
 -------- 22:00 0.08
