 Date Time CO NO2 CHX NO PM2.5
 25.02.13 00:00 0.08 ---- 1.54 ---- ----
 -------- 01:00 0.07 ---- 1.56 ---- ----
 -------- 02:00 0.04 ---- 1.53 ---- ----
 -------- 03:00 0.03 ---- 1.52 ---- ----
 -------- 04:00 0.04 ---- 1.52 ---- ----
 25.02.13 05:00 0.07 ---- 1.53 ---- ----
 -------- 06:00 0.08 ---- 1.55 ---- ----
 -------- 07:00 0.13 ---- 1.59 ---- ----
 -------- 08:00 0.17 ---- 1.63 ---- ----
 -------- 09:00 0.17 ---- 1.63 ---- ----
 25.02.13 10:00 0.15 ---- 1.62 ---- ----
 -------- 11:00 0.13 ---- 1.60 ---- ----
 -------- 12:00 0.15 ---- 1.59 ---- ----
 -------- 13:00 0.13 ---- 1.57 ---- ----
 -------- 14:00 0.13 ---- 1.55 ---- ----
 25.02.13 15:00 0.15 ---- 1.54 ---- ----
 -------- 16:00 0.19 ---- 1.55 ---- ----
 -------- 17:00 0.19 ---- 1.56 ---- ----
 -------- 18:00 0.21 ---- 1.60 ---- ----
 -------- 19:00 0.19 ---- 1.59 ---- ----
 25.02.13 20:00 0.17 ---- 1.57 ---- ----
 -------- 21:00 0.15 ---- 1.56 ---- ----
 -------- 22:00 0.19 ---- 1.59 ---- ----
 -------- 23:00 0.16 ---- 1.58 ---- ----
 -------- 00:00 0.11 ---- 1.55 ---- ----
 26.02.13 01:00 0.08 ---- 1.55 ---- ----
 -------- 02:00 0.05 ---- 1.53 ---- ----
 -------- 03:00 0.04 ---- 1.53 ---- ----
 -------- 04:00 0.03 ---- 1.52 ---- ----
 -------- 05:00 0.02 ---- 1.52 ---- ----
 26.02.13 06:00 0.05 ---- 1.53 ---- ----
 -------- 07:00 0.07 ---- 1.54 ---- ----
 -------- 08:00 0.09 ---- 1.55 ---- ----
 -------- 09:00 0.10 ---- 1.60 ---- ----
 -------- 10:00 0.13 ---- 1.61 ---- ----
 26.02.13 11:00 0.16 ---- 1.61 ---- ----
 -------- 12:00 0.14 ---- 1.58 ---- ----
 -------- 13:00 0.11 ---- 1.55 ---- ----
 -------- 14:00 0.13 ---- 1.54 ---- ----
 -------- 15:00 0.11 ---- 1.53 ---- ----
 26.02.13 16:00 0.14 ---- 1.54 ---- ----
 -------- 17:00 0.13 ---- 1.50 ---- ----
 -------- 18:00 0.12 ---- 1.48 ---- ----
 -------- 19:00 0.11 ---- 1.47 ---- ----
 -------- 20:00 0.10 ---- 1.47 ---- ----
 26.02.13 21:00 0.10 ---- 1.47 ---- ----
 -------- 22:00 0.07 ---- 1.46 ---- ----
 -------- 23:00 0.05 ---- 1.43 ---- ----
