 Date Time CO NO2 CHX NO
 26.09.12 00:00 0.12 0.07 1.44 0.15
 -------- 01:00 0.10 0.07 1.44 0.13
 -------- 02:00 0.07 0.06 1.43 0.11
 -------- 03:00 0.05 0.06 1.43 0.10
 -------- 04:00 0.05 0.07 1.43 0.11
 26.09.12 05:00 0.05 0.07 1.45 0.12
 -------- 06:00 0.08 0.07 1.46 0.13
 -------- 07:00 0.15 0.08 1.48 0.21
 -------- 08:00 0.20 0.08 1.48 0.20
 -------- 09:00 0.16 0.07 1.47 0.16
 26.09.12 10:00 0.16 0.07 1.47 0.17
 -------- 11:00 0.15 0.08 1.47 0.17
 -------- 12:00 0.19 0.12 1.46 0.20
 -------- 13:00 0.19 0.13 1.46 0.21
 -------- 14:00 0.17 0.13 1.46 0.18
 26.09.12 15:00 0.18 0.12 1.46 0.19
 -------- 16:00 0.17 0.12 1.46 0.16
 -------- 17:00 0.21 0.13 1.49 0.16
 -------- 18:00 0.15 0.12 1.48 0.13
 -------- 19:00 0.15 0.13 1.53 0.19
 26.09.12 20:00 0.17 0.12 1.55 0.19
 -------- 21:00 0.07 0.09 1.59 0.02
 -------- 22:00 0.13 0.10 1.62 0.15
 -------- 23:00 0.15 0.12 1.67 0.30
 -------- 00:00 0.14 0.10 1.67 0.20
 27.09.12 01:00 0.16 0.10 1.78 0.20
 -------- 02:00 0.24 0.10 1.90 0.32
 -------- 03:00 0.18 0.08 2.02 0.25
 -------- 04:00 0.27 0.09 2.17 0.47
 -------- 05:00 0.30 0.09 2.12 0.60
 27.09.12 06:00 0.26 0.08 2.10 0.40
 -------- 07:00 0.40 0.12 2.24 0.67
 -------- 08:00 0.45 0.15 2.26 0.63
 -------- 09:00 0.35 0.15 2.06 0.45
 -------- 10:00 0.33 0.16 1.86 0.41
 27.09.12 11:00 0.20 0.14 1.80 0.24
 -------- 12:00 0.25 0.15 1.77 0.22
 -------- 13:00 0.14 0.13 1.56 0.16
 -------- 14:00 0.13 0.13 1.53 0.15
 -------- 15:00 0.18 0.15 1.52 0.21
 27.09.12 16:00 0.15 0.14 1.52 0.17
 -------- 17:00 0.19 0.15 1.55 0.19
 -------- 18:00 0.16 0.14 1.57 0.11
 -------- 19:00 0.14 0.14 1.53 0.07
 -------- 20:00 0.14 0.15 1.54 0.09
 27.09.12 21:00 0.15 0.17 1.53 0.12
 -------- 22:00 0.17 0.17 1.55 0.15
 -------- 23:00 0.17 0.16 1.57 0.15
