 Date Time CO NO2 CHX NO PM2.5
 25.02.13 12:00 0.15 ---- 1.59 ---- ----
 -------- 13:00 0.13 ---- 1.57 ---- ----
 -------- 14:00 0.13 ---- 1.55 ---- ----
 -------- 15:00 0.15 ---- 1.54 ---- ----
 -------- 16:00 0.19 ---- 1.55 ---- ----
 25.02.13 17:00 0.19 ---- 1.56 ---- ----
 -------- 18:00 0.21 ---- 1.60 ---- ----
 -------- 19:00 0.19 ---- 1.59 ---- ----
 -------- 20:00 0.17 ---- 1.57 ---- ----
 -------- 21:00 0.15 ---- 1.56 ---- ----
 25.02.13 22:00 0.19 ---- 1.59 ---- ----
 -------- 23:00 0.16 ---- 1.58 ---- ----
 -------- 00:00 0.11 ---- 1.55 ---- ----
 -------- 01:00 0.08 ---- 1.55 ---- ----
 -------- 02:00 0.05 ---- 1.53 ---- ----
 26.02.13 03:00 0.04 ---- 1.53 ---- ----
 -------- 04:00 0.03 ---- 1.52 ---- ----
 -------- 05:00 0.02 ---- 1.52 ---- ----
 -------- 06:00 0.05 ---- 1.53 ---- ----
 -------- 07:00 0.07 ---- 1.54 ---- ----
 26.02.13 08:00 0.09 ---- 1.55 ---- ----
 -------- 09:00 0.10 ---- 1.60 ---- ----
 -------- 10:00 0.13 ---- 1.61 ---- ----
 -------- 11:00 0.16 ---- 1.61 ---- ----
 -------- 12:00 0.14 ---- 1.58 ---- ----
 26.02.13 13:00 0.11 ---- 1.55 ---- ----
 -------- 14:00 0.13 ---- 1.54 ---- ----
 -------- 15:00 0.11 ---- 1.53 ---- ----
 -------- 16:00 0.14 ---- 1.54 ---- ----
 -------- 17:00 0.13 ---- 1.50 ---- ----
 26.02.13 18:00 0.12 ---- 1.48 ---- ----
 -------- 19:00 0.11 ---- 1.47 ---- ----
 -------- 20:00 0.10 ---- 1.47 ---- ----
 -------- 21:00 0.10 ---- 1.47 ---- ----
 -------- 22:00 0.07 ---- 1.46 ---- ----
 26.02.13 23:00 0.05 ---- 1.43 ---- ----
 -------- 00:00 0.02 ---- 1.42 ---- ----
 -------- 01:00 0.02 ---- 1.41 ---- ----
 -------- 02:00 ---- ---- 1.41 ---- ----
 -------- 03:00 ---- ---- 1.48 ---- ----
 27.02.13 04:00 0.02 ---- 1.44 ---- ----
 -------- 05:00 0.04 ---- 1.45 ---- ----
 -------- 06:00 0.05 ---- 1.46 ---- ----
 -------- 07:00 0.10 ---- 1.48 ---- ----
 -------- 08:00 0.14 ---- 1.52 ---- ----
 27.02.13 09:00 0.13 ---- 1.55 ---- ----
 -------- 10:00 0.12 ---- 1.54 ---- ----
 -------- 11:00 0.12 ---- 1.54 ---- ----
