 Date Time CO SO2 H2S NO2 CHX NO
 07.04.13 12:00 0.15 0.00 ---- 0.30 1.47 0.24
 -------- 13:00 0.15 0.00 0.12 0.31 1.47 0.23
 -------- 14:00 0.13 0.00 ---- 0.28 1.46 0.17
 -------- 15:00 0.14 0.00 0.12 0.29 1.49 0.20
 -------- 16:00 0.15 0.00 0.12 0.31 1.46 0.21
 07.04.13 17:00 0.15 0.00 ---- 0.32 1.50 0.22
 -------- 18:00 0.16 0.00 0.12 0.32 1.48 0.23
 -------- 19:00 0.16 0.00 0.12 0.31 1.46 0.22
 -------- 20:00 0.15 0.00 0.12 0.30 1.46 0.21
 -------- 21:00 0.13 0.00 0.12 0.29 1.53 0.17
 07.04.13 22:00 0.17 0.00 0.12 0.32 1.58 0.27
 -------- 23:00 0.15 0.00 ---- 0.29 1.59 0.25
 -------- 00:00 0.14 0.00 0.12 0.32 1.60 0.25
 -------- 01:00 0.09 0.00 0.12 0.28 1.53 0.20
 -------- 02:00 0.08 0.00 0.12 0.27 1.53 0.18
 08.04.13 03:00 0.13 0.00 0.17 0.34 1.69 0.44
 -------- 04:00 0.14 0.00 0.12 0.33 1.68 0.41
 -------- 05:00 0.13 0.00 0.12 0.29 1.68 0.33
 -------- 06:00 0.23 0.01 0.21 0.32 1.76 0.60
 -------- 07:00 0.29 0.01 0.25 0.34 1.84 0.60
 08.04.13 08:00 0.24 0.00 0.25 0.34 1.79 0.39
 -------- 09:00 0.15 0.01 0.12 0.34 1.62 0.24
 -------- 10:00 0.10 0.01 0.12 0.27 1.51 0.17
 -------- 11:00 0.09 0.01 0.12 0.25 1.47 0.17
 -------- 12:00 0.09 0.01 0.12 0.25 1.49 0.17
 08.04.13 13:00 0.06 0.01 0.12 0.19 1.45 0.11
 -------- 14:00 0.05 0.00 0.12 0.20 1.45 0.11
 -------- 15:00 0.05 0.01 0.21 0.19 1.43 0.09
 -------- 16:00 0.10 0.00 0.12 0.21 1.48 0.10
 -------- 17:00 0.07 0.00 0.12 0.18 1.46 0.07
 08.04.13 18:00 0.11 0.00 0.12 0.27 1.48 0.12
 -------- 19:00 0.12 0.00 0.12 0.27 1.49 0.10
 -------- 20:00 0.20 0.01 0.12 0.35 1.55 0.18
 -------- 21:00 0.19 0.01 0.12 0.36 1.57 0.22
 -------- 22:00 0.30 0.01 0.21 0.41 1.66 0.50
 08.04.13 23:00 0.31 0.01 0.21 0.45 1.66 0.57
 -------- 00:00 0.33 0.01 0.17 0.45 1.80 0.68
 -------- 01:00 0.31 0.01 0.25 0.44 1.77 0.75
 -------- 02:00 0.23 0.01 0.25 0.42 1.74 0.64
 -------- 03:00 0.19 0.01 0.21 0.41 1.76 0.67
 09.04.13 04:00 0.15 0.01 0.21 0.38 1.77 0.45
 -------- 05:00 0.18 0.01 0.25 0.38 1.82 0.58
 -------- 06:00 0.26 0.01 0.25 0.36 2.03 0.54
 -------- 07:00 0.25 0.01 0.25 0.41 2.05 0.59
 -------- 08:00 0.23 0.01 0.25 0.41 1.85 0.45
 09.04.13 09:00 0.17 0.01 0.25 0.39 1.74 0.36
 -------- 10:00 0.21 0.01 0.25 0.41 1.74 0.37
 -------- 11:00 0.15 0.01 0.17 0.38 1.62 0.26
