 Date Time CO NO2 CHX NO
 17.11.12 12:00 0.16 0.18 1.44 0.22
 -------- 13:00 0.13 0.17 1.44 0.19
 -------- 14:00 0.13 0.17 1.44 0.19
 -------- 15:00 0.13 0.17 1.43 0.19
 -------- 16:00 0.13 0.16 1.41 0.16
 17.11.12 17:00 0.12 0.14 1.43 0.15
 -------- 18:00 0.11 0.14 1.45 0.16
 -------- 19:00 0.11 0.16 1.45 0.17
 -------- 20:00 0.11 0.15 1.46 0.15
 -------- 21:00 0.11 0.13 1.45 0.12
 17.11.12 22:00 0.13 0.13 1.46 0.14
 -------- 23:00 0.12 0.12 1.46 0.14
 -------- 00:00 0.11 0.12 1.45 0.13
 -------- 01:00 0.06 0.09 1.41 0.05
 -------- 02:00 0.07 0.10 1.42 0.07
 18.11.12 03:00 0.05 0.08 1.42 0.04
 -------- 04:00 0.04 0.08 1.42 0.04
 -------- 05:00 0.04 0.09 1.40 0.06
 -------- 06:00 0.05 0.09 1.39 0.04
 -------- 07:00 0.05 0.10 1.40 0.05
 18.11.12 08:00 0.06 0.11 1.41 0.05
 -------- 09:00 0.06 0.10 1.39 0.06
 -------- 10:00 0.07 0.10 1.38 0.07
 -------- 11:00 0.07 0.10 1.38 0.06
 -------- 12:00 0.07 0.10 1.39 0.06
 18.11.12 13:00 0.07 0.11 1.39 0.07
 -------- 14:00 0.08 0.10 1.39 0.06
 -------- 15:00 0.07 0.10 1.39 0.06
 -------- 16:00 0.07 0.10 1.38 0.06
 -------- 17:00 0.07 0.10 1.39 0.06
 18.11.12 18:00 0.08 0.10 1.40 0.06
 -------- 19:00 0.07 0.08 1.38 0.04
 -------- 20:00 0.06 0.08 1.38 0.04
 -------- 21:00 0.07 0.09 1.38 0.05
 -------- 22:00 0.05 0.09 1.37 0.04
 18.11.12 23:00 0.05 0.08 1.37 0.04
 -------- 00:00 0.04 0.06 1.36 0.02
 -------- 01:00 0.03 0.06 1.38 0.02
 -------- 02:00 0.03 0.03 1.37 0.01
 -------- 03:00 0.03 0.04 1.37 0.01
 19.11.12 04:00 0.03 0.02 1.36 0.01
 -------- 05:00 0.03 0.03 1.37 0.02
 -------- 06:00 0.03 0.05 1.38 0.03
 -------- 07:00 0.07 0.08 1.40 0.07
 -------- 08:00 0.07 0.09 1.30 0.06
 19.11.12 09:00 0.09 0.07 1.41 0.07
 -------- 10:00 0.07 0.08 1.41 0.07
 -------- 11:00 0.09 0.09 1.43 0.11
