 Date Time CO NO2 CHX NO
 13.11.12 12:00 0.11 0.14 1.42 0.15
 -------- 13:00 0.11 0.15 1.41 0.14
 -------- 14:00 0.11 0.17 1.40 0.15
 -------- 15:00 0.13 0.18 1.42 0.18
 -------- 16:00 0.17 0.18 1.45 0.18
 13.11.12 17:00 0.14 0.19 1.45 0.17
 -------- 18:00 0.14 0.18 1.46 0.13
 -------- 19:00 0.14 0.18 1.45 0.15
 -------- 20:00 0.14 0.18 1.46 0.14
 -------- 21:00 0.23 0.20 1.54 0.21
 13.11.12 22:00 0.14 0.17 1.47 0.13
 -------- 23:00 0.11 0.18 1.44 0.18
 -------- 00:00 0.09 0.16 1.41 0.15
 -------- 01:00 0.07 0.15 1.40 0.13
 -------- 02:00 0.05 0.14 1.40 0.13
 14.11.12 03:00 0.04 0.13 1.37 0.08
 -------- 04:00 0.04 0.14 1.37 0.08
 -------- 05:00 0.05 0.15 1.37 0.11
 -------- 06:00 0.07 0.16 1.38 0.13
 -------- 07:00 0.10 0.21 1.40 0.17
 14.11.12 08:00 0.15 0.22 1.43 0.20
 -------- 09:00 0.16 0.22 1.45 0.22
 -------- 10:00 0.16 0.22 1.45 0.24
 -------- 11:00 0.13 0.20 1.44 0.19
 -------- 12:00 0.15 0.21 1.46 0.25
 14.11.12 13:00 0.15 0.20 1.44 0.24
 -------- 14:00 0.13 0.19 1.42 0.19
 -------- 15:00 0.18 0.21 1.46 0.23
 -------- 16:00 0.14 0.18 1.46 0.18
 -------- 17:00 0.18 0.19 1.49 0.18
 14.11.12 18:00 0.17 0.17 1.52 0.18
 -------- 19:00 0.17 0.17 1.50 0.18
 -------- 20:00 0.16 0.14 1.49 0.16
 -------- 21:00 0.17 0.15 1.54 0.18
 -------- 22:00 0.19 0.16 1.61 0.20
 14.11.12 23:00 0.09 0.13 1.46 0.17
 -------- 00:00 0.07 0.10 1.39 0.09
 -------- 01:00 0.05 0.10 1.38 0.08
 -------- 02:00 0.03 0.08 1.38 0.06
 -------- 03:00 0.02 0.07 1.37 0.04
 15.11.12 04:00 0.02 0.06 1.37 0.03
 -------- 05:00 0.02 0.04 1.36 0.03
 -------- 06:00 0.04 0.08 1.39 0.09
 -------- 07:00 0.07 0.10 1.44 0.12
