 Date Time CO NO2 CHX NO
 25.11.12 12:00 0.13 0.16 1.58 0.24
 -------- 13:00 0.13 0.17 1.59 0.24
 -------- 14:00 0.14 0.18 1.60 0.27
 -------- 15:00 0.18 0.19 1.61 0.31
 -------- 16:00 0.23 0.20 1.65 0.40
 25.11.12 17:00 0.18 0.20 1.60 0.31
 -------- 18:00 0.17 0.19 1.58 0.29
 -------- 19:00 0.17 0.19 1.57 0.30
 -------- 20:00 0.14 0.18 1.55 0.27
 -------- 21:00 0.11 0.16 1.57 0.20
 25.11.12 22:00 0.11 0.15 1.61 0.20
 -------- 23:00 0.11 0.14 1.57 0.18
 -------- 00:00 0.09 0.14 1.51 0.13
 -------- 01:00 0.09 0.12 1.45 0.07
 -------- 02:00 0.05 0.11 1.44 0.05
 26.11.12 03:00 0.04 0.10 1.43 0.03
 -------- 04:00 0.04 0.10 1.44 0.04
 -------- 05:00 0.04 0.09 1.44 0.03
 -------- 06:00 0.05 0.10 1.45 0.06
 -------- 07:00 0.07 0.11 1.48 0.10
 26.11.12 08:00 0.09 0.11 1.55 0.12
 -------- 09:00 0.12 0.12 1.63 0.19
 -------- 10:00 0.13 0.12 1.58 0.19
 -------- 11:00 0.14 0.12 1.61 0.23
 -------- 12:00 0.11 0.11 1.54 0.18
 26.11.12 13:00 0.11 0.11 1.55 0.18
 -------- 14:00 0.13 0.11 1.59 0.21
 -------- 15:00 0.14 0.11 1.61 0.25
 -------- 16:00 0.13 0.10 1.60 0.20
 -------- 17:00 0.15 0.10 1.64 0.18
 26.11.12 18:00 0.21 0.12 1.72 0.24
 -------- 19:00 0.17 0.11 1.64 0.20
 -------- 20:00 0.16 0.10 1.66 0.19
 -------- 21:00 0.15 0.09 1.59 0.18
 -------- 22:00 0.13 0.09 1.56 0.23
 26.11.12 23:00 0.11 0.09 1.54 0.25
 -------- 00:00 0.09 0.09 1.53 0.22
 -------- 01:00 0.07 0.08 1.57 0.18
 -------- 02:00 0.07 0.08 1.71 0.17
 -------- 03:00 0.05 0.07 1.60 0.14
 27.11.12 04:00 0.05 0.08 1.55 0.17
 -------- 05:00 0.05 0.08 1.51 0.17
 -------- 06:00 0.09 0.11 1.51 0.26
 -------- 07:00 0.15 0.13 1.54 0.29
 -------- 08:00 0.14 0.10 1.58 0.23
 27.11.12 09:00 0.16 0.10 1.57 0.26
 -------- 10:00 0.14 0.09 1.53 0.24
 -------- 11:00 0.14 0.10 1.54 0.25
