 Date Time CO NO2 CHX NO PM2.5
 09.04.13 00:00 0.33 0.45 1.80 0.68 ----
 -------- 01:00 0.31 0.44 1.77 0.75 ----
 -------- 02:00 0.23 0.42 1.74 0.64 ----
 -------- 03:00 0.19 0.41 1.76 0.67 ----
 -------- 04:00 0.15 0.38 1.77 0.45 ----
 09.04.13 05:00 0.18 0.38 1.82 0.58 ----
 -------- 06:00 0.26 0.36 2.03 0.54 ----
 -------- 07:00 0.25 0.41 2.05 0.59 ----
 -------- 08:00 0.23 0.41 1.85 0.45 ----
 -------- 09:00 0.17 0.39 1.74 0.36 ----
 09.04.13 10:00 0.21 0.41 1.74 0.37 ----
 -------- 11:00 0.15 0.38 1.62 0.26 ----
 -------- 12:00 0.16 0.38 1.62 0.27 ----
 -------- 13:00 0.15 0.38 1.61 0.25 ----
 -------- 14:00 0.12 0.35 1.57 0.16 ----
 09.04.13 15:00 0.13 0.36 1.60 0.20 ----
 -------- 16:00 0.21 0.44 1.67 0.31 ----
 -------- 17:00 0.21 0.45 1.94 0.31 ----
 -------- 18:00 0.17 0.39 1.75 0.12 ----
 -------- 19:00 0.08 0.34 1.61 0.06 ----
 09.04.13 20:00 0.09 0.35 1.62 0.05 ----
 -------- 21:00 0.17 0.43 1.71 0.19 ----
 -------- 22:00 0.22 0.43 1.71 0.29 ----
 -------- 23:00 0.22 0.44 1.77 0.35 ----
 -------- 00:00 0.27 0.42 1.94 0.42 ----
 10.04.13 01:00 0.29 0.45 2.00 0.54 ----
 -------- 02:00 0.27 0.45 2.03 0.61 ----
 -------- 03:00 0.17 0.44 1.87 0.38 ----
 -------- 04:00 0.13 0.43 1.77 0.40 ----
 -------- 05:00 0.10 0.41 1.65 0.31 ----
 10.04.13 06:00 0.15 0.42 1.77 0.41 ----
 -------- 07:00 0.19 0.43 2.09 0.55 ----
 -------- 08:00 0.16 0.40 1.84 0.37 ----
 -------- 09:00 0.15 0.42 1.85 0.46 ----
 -------- 10:00 0.10 0.32 1.57 0.20 ----
 10.04.13 11:00 0.07 0.29 1.50 0.17 ----
 -------- 12:00 0.06 0.34 1.52 0.23 ----
 -------- 13:00 0.05 0.31 1.50 0.17 ----
 -------- 14:00 0.05 0.30 1.48 0.17 ----
 -------- 15:00 0.03 0.27 1.47 0.12 ----
 10.04.13 16:00 0.03 0.25 1.48 0.08 ----
 -------- 17:00 0.04 0.26 1.49 0.08 ----
 -------- 18:00 0.08 0.28 1.48 0.07 ----
 -------- 19:00 0.07 0.30 1.49 0.06 ----
 -------- 20:00 0.13 0.37 1.54 0.12 ----
 10.04.13 21:00 0.18 0.43 1.59 0.22 ----
 -------- 22:00 0.27 0.48 1.66 0.41 ----
 -------- 23:00 0.24 0.47 1.80 0.34 ----
