 Date Time CO NO2 CHX NO
 30.10.12 12:00 0.19 0.20 1.56 0.29
 -------- 13:00 0.17 0.19 1.51 0.25
 -------- 14:00 0.15 0.19 1.48 0.23
 -------- 15:00 0.11 0.18 1.47 0.18
 -------- 16:00 0.10 0.18 1.46 0.17
 30.10.12 17:00 0.11 0.16 1.49 0.13
 -------- 18:00 0.11 0.13 1.49 0.08
 -------- 19:00 0.11 0.13 1.51 0.08
 -------- 20:00 0.09 0.12 1.45 0.07
 -------- 21:00 0.08 0.13 1.44 0.08
 30.10.12 22:00 0.08 0.13 1.44 0.12
 -------- 23:00 0.09 0.13 1.43 0.12
 -------- 00:00 0.09 0.13 1.43 0.13
 -------- 01:00 0.08 0.12 1.43 0.12
 -------- 02:00 0.05 0.12 1.44 0.09
 31.10.12 03:00 0.04 0.10 1.43 0.07
 -------- 04:00 0.04 0.10 1.46 0.08
 -------- 05:00 0.07 0.12 1.56 0.15
 -------- 06:00 0.12 0.13 1.58 0.22
 -------- 07:00 0.16 0.13 1.71 0.32
 31.10.12 08:00 0.22 0.14 1.67 0.39
 -------- 09:00 0.24 0.14 1.65 0.44
 -------- 10:00 0.27 0.15 1.75 0.53
 -------- 11:00 0.21 0.14 1.96 0.43
 -------- 12:00 0.13 0.13 1.71 0.28
 31.10.12 13:00 0.13 0.11 1.75 0.23
 -------- 14:00 0.16 0.14 1.60 0.36
 -------- 15:00 0.18 0.14 1.57 0.37
 -------- 16:00 0.11 0.11 1.48 0.21
 -------- 17:00 0.08 0.11 1.45 0.17
 31.10.12 18:00 0.05 0.10 1.44 0.11
 -------- 19:00 0.11 0.13 1.49 0.14
 -------- 20:00 0.18 0.15 1.54 0.15
 -------- 21:00 0.17 0.14 1.52 0.15
 -------- 22:00 0.12 0.13 1.48 0.11
 31.10.12 23:00 0.11 0.14 1.49 0.12
 -------- 00:00 0.07 0.12 1.43 0.10
 -------- 01:00 0.06 0.11 1.41 0.09
 -------- 02:00 0.04 0.09 1.38 0.05
 -------- 03:00 0.02 0.04 1.37 0.01
 01.11.12 04:00 0.02 0.03 1.36 0.01
 -------- 05:00 0.04 0.05 1.36 0.03
 -------- 06:00 0.05 0.07 1.39 0.04
 -------- 07:00 0.07 0.09 1.41 0.07
 -------- 08:00 0.08 0.09 1.41 0.07
 01.11.12 09:00 0.11 0.12 1.42 0.12
 -------- 10:00 0.11 0.12 1.42 0.12
 -------- 11:00 0.12 0.14 1.44 0.15
