 Date Time CO NO2 CHX NO PM2.5
 12.04.13 12:00 0.11 0.43 1.71 0.35 ----
 -------- 13:00 0.07 0.29 1.53 0.15 ----
 -------- 14:00 0.07 0.27 1.52 0.14 ----
 -------- 15:00 0.05 0.25 1.51 0.11 ----
 -------- 16:00 0.05 0.23 1.51 0.09 ----
 12.04.13 17:00 0.04 0.21 1.51 0.06 ----
 -------- 18:00 0.07 0.27 1.53 0.09 ----
 -------- 19:00 0.04 0.24 1.49 0.06 ----
 -------- 20:00 0.13 0.30 1.51 0.12 ----
 -------- 21:00 0.18 0.38 1.60 0.23 ----
 12.04.13 22:00 0.28 0.46 1.75 0.35 ----
 -------- 23:00 0.21 0.46 1.68 0.26 ----
 -------- 00:00 0.23 0.46 1.68 0.34 ----
 -------- 01:00 0.17 0.44 1.68 0.29 ----
 -------- 02:00 0.16 0.45 1.70 0.33 ----
 13.04.13 03:00 0.19 0.44 1.75 0.39 ----
 -------- 04:00 0.17 0.43 1.75 0.36 ----
 -------- 05:00 0.19 0.43 1.89 0.46 ----
 -------- 06:00 0.19 0.43 1.93 0.48 ----
 -------- 07:00 0.20 0.43 1.79 0.51 ----
 13.04.13 08:00 0.19 0.42 1.81 0.40 ----
 -------- 09:00 0.15 0.40 1.87 0.32 ----
 -------- 10:00 0.11 0.38 1.82 0.23 ----
 -------- 11:00 0.09 0.30 1.56 0.13 ----
 -------- 12:00 0.06 0.25 1.55 0.09 ----
 13.04.13 13:00 0.05 0.24 1.50 0.09 ----
 -------- 14:00 0.05 0.23 1.50 0.08 ----
 -------- 15:00 0.07 0.25 1.52 0.11 ----
 -------- 16:00 0.10 0.28 1.53 0.10 ----
 -------- 17:00 0.09 0.28 1.51 0.10 ----
 13.04.13 18:00 0.09 0.30 1.52 0.10 ----
 -------- 19:00 0.11 0.34 1.53 0.12 ----
 -------- 20:00 0.14 0.37 1.52 0.15 ----
 -------- 21:00 0.14 0.39 1.54 0.17 ----
 -------- 22:00 0.20 0.43 1.63 0.28 ----
 13.04.13 23:00 0.17 0.39 1.56 0.24 ----
 -------- 00:00 0.13 0.39 1.57 0.21 ----
 -------- 01:00 0.09 0.34 1.56 0.12 ----
 -------- 02:00 0.10 0.35 1.56 0.14 ----
 -------- 03:00 0.07 0.32 1.56 0.11 ----
 14.04.13 04:00 0.06 0.31 1.55 0.10 ----
 -------- 05:00 0.05 0.29 1.55 0.08 ----
 -------- 06:00 0.07 0.31 1.57 0.12 ----
 -------- 07:00 0.08 0.32 1.56 0.15 ----
 -------- 08:00 0.09 0.32 1.56 0.14 ----
 14.04.13 09:00 0.11 0.33 1.52 0.18 ----
 -------- 10:00 0.11 0.34 1.53 0.20 ----
 -------- 11:00 0.11 0.33 1.53 0.17 ----
