 Date Time CO NO2 CHX NO PM2.5
 07.03.13 00:00 0.10 0.07 1.43 0.03 ----
 -------- 01:00 0.10 0.04 1.40 0.02 ----
 -------- 02:00 0.08 0.04 1.40 0.02 ----
 -------- 03:00 0.02 0.04 1.40 0.02 ----
 -------- 04:00 0.02 0.04 1.40 0.02 ----
 07.03.13 05:00 0.02 0.03 1.40 0.02 ----
 -------- 06:00 0.03 0.05 1.41 0.02 ----
 -------- 07:00 0.06 0.07 1.43 0.03 ----
 -------- 08:00 0.08 0.08 1.45 0.03 ----
 -------- 09:00 0.09 0.10 1.48 0.05 ----
 07.03.13 10:00 0.10 0.09 1.47 0.06 ----
 -------- 11:00 0.10 0.09 1.47 0.07 ----
 -------- 12:00 0.10 0.08 1.48 0.07 ----
 -------- 13:00 0.11 0.08 1.49 0.08 ----
 -------- 14:00 0.11 0.09 1.48 0.08 ----
 07.03.13 15:00 0.16 0.09 1.54 0.06 ----
 -------- 16:00 0.14 0.08 1.57 0.06 ----
 -------- 17:00 0.13 0.07 1.52 0.05 ----
 -------- 18:00 0.06 0.06 1.44 0.03 ----
 -------- 19:00 0.09 0.06 1.50 0.05 ----
 07.03.13 20:00 0.13 0.09 1.52 0.06 ----
 -------- 21:00 0.13 0.10 1.51 0.09 ----
 -------- 22:00 0.19 0.12 1.57 0.14 ----
 -------- 23:00 0.17 0.12 1.56 0.14 ----
 -------- 00:00 0.15 0.11 1.56 0.15 ----
 08.03.13 01:00 0.10 0.10 1.53 0.12 ----
 -------- 02:00 0.06 0.09 1.48 0.10 ----
 -------- 03:00 0.02 0.08 1.46 0.07 ----
 -------- 04:00 0.02 0.07 1.45 0.06 ----
 -------- 05:00 0.02 0.08 1.44 0.07 ----
 08.03.13 06:00 0.02 0.07 1.41 0.06 ----
 -------- 07:00 ---- 0.05 1.41 0.04 ----
 -------- 08:00 ---- 0.04 1.42 0.03 ----
 -------- 09:00 0.08 0.03 1.42 0.03 ----
 -------- 10:00 0.05 0.03 1.42 0.03 ----
 08.03.13 11:00 0.05 0.03 1.45 0.04 ----
 -------- 12:00 0.05 0.04 1.42 0.05 ----
 -------- 13:00 0.04 0.03 1.41 0.04 ----
 -------- 14:00 0.08 0.05 1.43 0.06 ----
 -------- 15:00 0.11 0.07 1.45 0.08 ----
 08.03.13 16:00 0.12 0.06 1.45 0.07 ----
 -------- 17:00 0.13 0.08 1.47 0.08 ----
 -------- 18:00 0.13 0.08 1.46 0.07 ----
 -------- 19:00 0.14 0.09 1.47 0.09 ----
 -------- 20:00 0.19 0.11 1.51 0.12 ----
 08.03.13 21:00 0.13 0.10 1.48 0.09 ----
 -------- 22:00 0.13 0.11 1.54 0.10 ----
 -------- 23:00 0.11 0.10 1.53 0.09 ----
