 Date Time CO NO2 CHX NO
 15.10.12 00:00 0.13 0.11 1.51 0.06
 -------- 01:00 0.12 0.10 1.53 0.03
 -------- 02:00 0.09 0.10 1.49 0.02
 -------- 03:00 0.06 0.10 1.52 0.03
 -------- 04:00 0.03 0.08 1.41 0.01
 15.10.12 05:00 0.09 0.12 1.52 0.16
 -------- 06:00 0.17 0.13 1.70 0.28
 -------- 07:00 0.20 0.14 1.74 0.32
 -------- 08:00 0.34 0.15 1.82 0.45
 -------- 09:00 0.38 0.16 1.81 0.49
 15.10.12 10:00 0.34 0.17 1.83 0.45
 -------- 11:00 0.32 0.18 1.82 0.42
 -------- 12:00 0.20 0.16 1.71 0.26
 -------- 13:00 0.19 0.15 1.59 0.23
 -------- 14:00 0.15 0.15 1.52 0.19
 15.10.12 15:00 0.13 0.14 1.51 0.15
 -------- 16:00 0.13 0.16 1.51 0.17
 -------- 17:00 0.14 0.16 1.48 0.10
 -------- 18:00 0.10 0.13 1.42 0.05
 -------- 19:00 0.11 0.14 1.45 0.04
 15.10.12 20:00 0.12 0.14 1.44 0.07
 -------- 21:00 0.11 0.12 1.44 0.06
 -------- 22:00 0.12 0.12 1.45 0.11
 -------- 23:00 0.10 0.12 1.43 0.08
 -------- 00:00 0.05 0.10 1.38 0.03
 16.10.12 01:00 0.04 0.08 1.40 0.03
 -------- 02:00 0.05 0.10 1.42 0.05
 -------- 03:00 0.04 0.09 1.41 0.03
 -------- 04:00 0.04 0.08 1.40 0.03
 -------- 05:00 0.05 0.08 1.40 0.05
 16.10.12 06:00 0.09 0.10 1.44 0.10
 -------- 07:00 0.16 0.11 1.47 0.21
 -------- 08:00 0.14 0.09 1.45 0.16
 -------- 09:00 0.20 0.10 1.47 0.14
 -------- 10:00 0.32 0.11 1.53 0.20
 16.10.12 11:00 0.38 0.12 1.54 0.23
 -------- 12:00 0.44 0.11 1.55 0.26
 -------- 13:00 0.47 0.12 1.55 0.24
 -------- 14:00 0.48 0.11 1.57 0.21
 -------- 15:00 0.52 0.12 1.61 0.26
 16.10.12 16:00 0.55 0.11 1.60 0.25
 -------- 17:00 0.52 0.10 1.59 0.20
 -------- 18:00 0.50 0.11 1.57 0.19
 -------- 19:00 0.23 0.10 1.57 0.17
 -------- 20:00 0.19 0.10 1.54 0.15
 16.10.12 21:00 0.25 0.10 1.58 0.23
 -------- 22:00 0.25 0.09 1.59 0.24
 -------- 23:00 0.20 0.08 1.55 0.21
