 Date Time CO SO2 H2S NO2 CHX NO
 24.03.13 00:00 0.07 0.01 0.12 0.20 1.50 0.14
 -------- 01:00 0.06 0.01 0.12 0.20 1.47 0.13
 -------- 02:00 0.04 0.01 0.12 0.17 1.45 0.10
 -------- 03:00 0.04 0.01 0.12 0.16 1.43 0.09
 -------- 04:00 0.02 0.01 0.12 0.12 1.42 0.07
 24.03.13 05:00 0.03 0.01 0.12 0.13 1.41 0.07
 -------- 06:00 0.04 0.00 0.12 0.13 1.40 0.07
 -------- 07:00 0.03 0.00 0.12 0.13 1.42 0.08
 -------- 08:00 0.04 0.00 0.12 0.14 1.45 0.08
 -------- 09:00 0.05 0.00 0.12 0.16 1.46 0.09
 24.03.13 10:00 0.07 0.00 0.12 0.19 1.48 0.10
 -------- 11:00 0.06 0.00 0.12 0.19 1.45 0.11
 -------- 12:00 0.07 0.00 0.12 0.19 1.44 0.12
 -------- 13:00 0.07 0.00 0.12 0.18 1.43 0.11
 -------- 14:00 0.09 0.00 0.12 0.19 1.44 0.13
 24.03.13 15:00 0.08 0.00 0.12 0.19 1.44 0.12
 -------- 16:00 0.09 0.00 0.12 0.19 1.45 0.13
 -------- 17:00 0.08 0.00 0.12 0.19 1.44 0.13
 -------- 18:00 0.07 0.00 0.12 0.19 1.45 0.13
 -------- 19:00 0.09 0.00 0.12 0.20 1.45 0.13
 24.03.13 20:00 0.08 0.00 0.12 0.19 1.44 0.13
 -------- 21:00 0.07 0.00 0.12 0.17 1.44 0.10
 -------- 22:00 0.06 0.00 0.12 0.17 1.43 0.10
 -------- 23:00 0.06 0.00 0.12 0.17 1.43 0.12
 -------- 00:00 0.05 0.00 0.12 0.15 1.41 0.10
 25.03.13 01:00 0.04 0.00 0.12 0.16 1.41 0.11
 -------- 02:00 0.04 0.00 0.12 0.15 1.39 0.09
 -------- 03:00 0.03 0.00 0.12 0.15 1.39 0.10
 -------- 04:00 0.02 0.00 0.12 0.16 1.39 0.10
 -------- 05:00 0.03 0.00 0.12 0.16 1.39 0.09
 25.03.13 06:00 0.05 0.00 0.12 0.21 1.41 0.15
 -------- 07:00 0.09 0.00 0.12 0.23 1.44 0.21
 -------- 08:00 0.11 0.00 0.12 0.24 1.47 0.20
 -------- 09:00 0.10 0.00 0.12 0.23 1.46 0.19
 -------- 10:00 0.10 0.00 0.12 0.24 1.47 0.20
 25.03.13 11:00 0.11 0.00 0.12 0.24 1.46 0.22
 -------- 12:00 0.11 0.00 0.12 0.24 1.46 0.23
 -------- 13:00 0.11 0.00 0.12 0.24 1.49 0.22
 -------- 14:00 0.09 0.00 0.12 0.26 1.45 0.21
 -------- 15:00 0.12 0.00 0.12 0.25 1.51 0.20
 25.03.13 16:00 0.11 0.00 0.12 0.24 1.49 0.18
 -------- 17:00 0.13 0.00 0.12 0.25 1.52 0.19
 -------- 18:00 0.13 0.00 0.12 0.24 1.51 0.16
 -------- 19:00 0.11 0.00 0.12 0.25 1.51 0.15
 -------- 20:00 0.09 0.00 0.12 0.24 1.67 0.13
 25.03.13 21:00 0.06 0.00 0.12 0.19 1.55 0.08
 -------- 22:00 0.12 0.00 0.12 0.23 1.53 0.15
 -------- 23:00 0.07 0.00 0.12 0.22 1.48 0.16
