 Date Time CO CHX
 -------- 1.41 01:00 0.07
 -------- 1.42 02:00 0.05
 -------- 1.41 03:00 0.05
 -------- 1.41 04:00 0.04
 22.10.12 05:00 <b>22.10.1205:00</b> 0.06
 -------- 1.41 06:00 0.12
 -------- 1.45 07:00 0.19
 -------- 1.50 08:00 0.18
 -------- 1.52 09:00 0.25
 22.10.12 10:00 <b>22.10.1210:00</b> 0.24
 -------- 1.57 11:00 0.27
 -------- 1.61 12:00 0.22
 -------- 1.49 13:00 0.19
 -------- 1.46 14:00 0.20
 22.10.12 15:00 <b>22.10.1215:00</b> 0.17
 -------- 1.46 16:00 0.17
 -------- 1.44 17:00 0.19
 -------- 1.47 18:00 0.15
 -------- 1.44 19:00 0.14
 22.10.12 20:00 <b>22.10.1220:00</b> 0.11
 -------- 1.45 21:00 0.15
 -------- 1.50 22:00 0.16
 -------- 1.46 23:00 0.13
 -------- 1.45 00:00 0.13
 23.10.12 01:00 <b>23.10.1201:00</b> 0.09
 -------- 1.42 02:00 0.05
 -------- 1.40 03:00 0.07
 -------- 1.42 04:00 0.07
 -------- 1.43 05:00 0.05
 23.10.12 06:00 <b>23.10.1206:00</b> 0.07
 -------- 1.40 07:00 0.12
 -------- 1.42 08:00 0.19
 -------- 1.47 09:00 0.20
 -------- 1.49 10:00 0.23
 23.10.12 11:00 <b>23.10.1211:00</b> 0.19
 -------- 1.55 12:00 0.15
 -------- 1.52 13:00 0.16
 -------- 1.53 14:00 0.13
 -------- 1.50 15:00 0.12
 23.10.12 16:00 <b>23.10.1216:00</b> 0.17
 -------- 1.53 17:00 0.19
 -------- 1.53 18:00 0.11
 -------- 1.50 19:00 0.10
 -------- 1.47 20:00 0.07
 23.10.12 21:00 <b>23.10.1221:00</b> 0.11
 -------- 1.45 22:00 0.10
