 Date Time CO SO2 H2S CHX
 18.02.13 12:00 0.10 0.00 ---- 1.70
 -------- 13:00 0.21 ---- ---- 1.83
 -------- 14:00 0.09 ---- ---- 1.74
 -------- 15:00 0.13 ---- ---- 1.85
 -------- 16:00 0.11 ---- ---- 1.70
 18.02.13 17:00 0.11 ---- ---- 1.69
 -------- 18:00 0.07 ---- ---- 1.72
 -------- 19:00 0.06 ---- ---- 1.73
 -------- 20:00 0.09 ---- ---- 1.73
 -------- 21:00 0.11 ---- ---- 1.71
 18.02.13 22:00 0.10 ---- ---- 1.69
 -------- 23:00 0.13 ---- ---- 1.70
 -------- 00:00 0.09 0.00 0.12 1.82
 -------- 01:00 0.12 0.01 0.25 1.73
 -------- 02:00 0.11 0.00 0.12 1.74
 19.02.13 03:00 0.09 0.00 0.12 1.73
 -------- 04:00 0.07 0.00 0.12 1.67
 -------- 05:00 0.07 0.00 0.25 1.65
 -------- 06:00 0.07 0.00 0.12 1.57
 -------- 07:00 0.09 ---- ---- 1.62
 19.02.13 08:00 0.12 0.00 0.12 1.66
 -------- 09:00 0.14 0.00 0.21 1.62
 -------- 10:00 0.12 0.00 0.21 1.65
 -------- 11:00 0.12 0.00 0.12 1.70
 -------- 12:00 0.11 0.00 ---- 1.65
 19.02.13 13:00 0.13 0.01 0.17 1.65
 -------- 14:00 0.12 0.00 0.12 1.63
 -------- 15:00 0.13 0.00 ---- 1.65
 -------- 16:00 0.10 0.00 ---- 1.60
 -------- 17:00 0.10 0.00 ---- 1.57
 19.02.13 18:00 0.11 0.00 0.12 1.58
 -------- 19:00 0.13 0.01 0.12 1.59
 -------- 20:00 0.13 0.01 0.21 1.59
 -------- 21:00 0.17 0.00 0.12 1.63
 -------- 22:00 0.21 0.00 0.12 1.72
 19.02.13 23:00 0.15 0.00 0.12 1.63
 -------- 00:00 0.13 0.00 0.12 1.63
 -------- 01:00 0.10 0.00 0.12 1.63
 -------- 02:00 0.11 0.01 0.12 1.69
 -------- 03:00 0.13 0.00 0.12 1.74
 20.02.13 04:00 0.11 0.00 0.12 1.75
 -------- 05:00 0.15 0.00 ---- 1.88
 -------- 06:00 0.18 0.00 0.12 1.93
 -------- 07:00 0.21 0.01 0.21 1.97
 -------- 08:00 0.32 0.01 0.33 2.07
 20.02.13 09:00 0.35 0.01 0.33 2.15
 -------- 10:00 0.33 0.01 0.25 2.08
 -------- 11:00 0.20 0.01 0.12 1.88
