 Date Time CO NO2 CHX NO PM2.5
 26.02.13 00:00 0.12 ---- 1.56 ---- ----
 -------- 01:00 0.08 ---- 1.55 ---- ----
 -------- 02:00 0.05 ---- 1.53 ---- ----
 -------- 03:00 0.04 ---- 1.53 ---- ----
 -------- 04:00 0.03 ---- 1.52 ---- ----
 26.02.13 05:00 0.02 ---- 1.52 ---- ----
 -------- 06:00 0.05 ---- 1.53 ---- ----
 -------- 07:00 0.07 ---- 1.54 ---- ----
 -------- 08:00 0.09 ---- 1.55 ---- ----
 -------- 09:00 0.10 ---- 1.60 ---- ----
 26.02.13 10:00 0.13 ---- 1.61 ---- ----
 -------- 11:00 0.16 ---- 1.61 ---- ----
 -------- 12:00 0.14 ---- 1.58 ---- ----
 -------- 13:00 0.11 ---- 1.55 ---- ----
 -------- 14:00 0.13 ---- 1.54 ---- ----
 26.02.13 15:00 0.11 ---- 1.53 ---- ----
 -------- 16:00 0.14 ---- 1.54 ---- ----
 -------- 17:00 0.13 ---- 1.50 ---- ----
 -------- 18:00 0.12 ---- 1.48 ---- ----
 -------- 19:00 0.11 ---- 1.47 ---- ----
 26.02.13 20:00 0.10 ---- 1.47 ---- ----
 -------- 21:00 0.10 ---- 1.47 ---- ----
 -------- 22:00 0.07 ---- 1.46 ---- ----
 -------- 23:00 0.05 ---- 1.43 ---- ----
 -------- 00:00 0.02 ---- 1.42 ---- ----
 27.02.13 01:00 0.02 ---- 1.41 ---- ----
 -------- 02:00 ---- ---- 1.41 ---- ----
 -------- 03:00 ---- ---- 1.48 ---- ----
 -------- 04:00 0.02 ---- 1.44 ---- ----
 -------- 05:00 0.04 ---- 1.45 ---- ----
 27.02.13 06:00 0.05 ---- 1.46 ---- ----
 -------- 07:00 0.10 ---- 1.48 ---- ----
 -------- 08:00 0.14 ---- 1.52 ---- ----
 -------- 09:00 0.13 ---- 1.55 ---- ----
 -------- 10:00 0.12 ---- 1.54 ---- ----
 27.02.13 11:00 0.12 ---- 1.54 ---- ----
 -------- 12:00 0.10 ---- 1.52 ---- ----
 -------- 13:00 0.13 ---- 1.52 ---- ----
 -------- 14:00 0.11 ---- 1.48 ---- ----
 -------- 15:00 0.12 ---- 1.51 ---- ----
 27.02.13 16:00 0.13 ---- 1.57 ---- ----
 -------- 17:00 0.10 ---- 1.64 ---- ----
 -------- 18:00 0.08 ---- 1.54 ---- ----
 -------- 19:00 0.15 ---- 1.57 ---- ----
 -------- 20:00 0.20 ---- 1.64 ---- ----
 27.02.13 21:00 0.29 ---- 1.68 ---- ----
 -------- 22:00 0.13 ---- 1.51 ---- ----
 -------- 23:00 0.11 ---- 1.54 ---- ----
