 Date Time CO NO2 CHX NO
 26.09.12 12:00 0.18 0.13 1.46 0.20
 -------- 13:00 0.19 0.13 1.46 0.21
 -------- 14:00 0.17 0.13 1.46 0.18
 -------- 15:00 0.18 0.12 1.46 0.19
 -------- 16:00 0.17 0.12 1.46 0.16
 26.09.12 17:00 0.21 0.13 1.49 0.16
 -------- 18:00 0.15 0.12 1.48 0.13
 -------- 19:00 0.15 0.13 1.53 0.19
 -------- 20:00 0.17 0.12 1.55 0.19
 -------- 21:00 0.07 0.09 1.59 0.02
 26.09.12 22:00 0.13 0.10 1.62 0.15
 -------- 23:00 0.15 0.12 1.67 0.30
 -------- 00:00 0.14 0.10 1.67 0.20
 -------- 01:00 0.16 0.10 1.78 0.20
 -------- 02:00 0.24 0.10 1.90 0.32
 27.09.12 03:00 0.18 0.08 2.02 0.25
 -------- 04:00 0.27 0.09 2.17 0.47
 -------- 05:00 0.30 0.09 2.12 0.60
 -------- 06:00 0.26 0.08 2.10 0.40
 -------- 07:00 0.40 0.12 2.24 0.67
 27.09.12 08:00 0.45 0.15 2.26 0.63
 -------- 09:00 0.35 0.15 2.06 0.45
 -------- 10:00 0.33 0.16 1.86 0.41
 -------- 11:00 0.20 0.14 1.80 0.24
 -------- 12:00 0.25 0.15 1.77 0.22
 27.09.12 13:00 0.14 0.13 1.56 0.16
 -------- 14:00 0.13 0.13 1.53 0.15
 -------- 15:00 0.18 0.15 1.52 0.21
 -------- 16:00 0.15 0.14 1.52 0.17
 -------- 17:00 0.19 0.15 1.55 0.19
 27.09.12 18:00 0.16 0.14 1.57 0.11
 -------- 19:00 0.14 0.14 1.53 0.07
 -------- 20:00 0.14 0.15 1.54 0.09
 -------- 21:00 0.15 0.17 1.53 0.12
 -------- 22:00 0.17 0.17 1.55 0.15
 27.09.12 23:00 0.17 0.16 1.57 0.15
 -------- 00:00 0.14 0.16 1.57 0.12
 -------- 01:00 0.11 0.15 1.52 0.09
 -------- 02:00 0.05 0.09 1.43 0.03
 -------- 03:00 0.02 0.05 1.41 ----
 28.09.12 04:00 0.02 0.05 1.39 ----
 -------- 05:00 0.02 0.05 1.38 ----
 -------- 06:00 0.03 0.07 1.38 0.01
 -------- 07:00 0.05 0.10 1.39 0.02
 -------- 08:00 0.09 0.12 1.42 0.03
 28.09.12 09:00 0.09 0.11 1.41 0.03
 -------- 10:00 0.11 0.13 1.48 0.05
 -------- 11:00 0.12 0.14 1.52 0.07
