 Date Time CO CHX
 -------- 1.48 01:00 0.10
 -------- 1.46 02:00 0.06
 -------- 1.41 03:00 0.07
 -------- 1.41 04:00 0.04
 21.10.12 05:00 <b>21.10.1205:00</b> 0.04
 -------- 1.39 06:00 0.02
 -------- 1.39 07:00 0.03
 -------- 1.38 08:00 0.03
 -------- 1.37 09:00 0.06
 21.10.12 10:00 <b>21.10.1210:00</b> 0.07
 -------- 1.38 11:00 0.06
 -------- 1.37 12:00 0.07
 -------- 1.38 13:00 0.07
 -------- 1.39 14:00 0.08
 21.10.12 15:00 <b>21.10.1215:00</b> 0.08
 -------- 1.40 16:00 0.09
 -------- 1.41 17:00 0.09
 -------- 1.41 18:00 0.10
 -------- 1.42 19:00 0.08
 21.10.12 20:00 <b>21.10.1220:00</b> 0.08
 -------- 1.43 21:00 0.11
 -------- 1.43 22:00 0.09
 -------- 1.42 23:00 0.09
 -------- 1.42 00:00 0.07
 22.10.12 01:00 <b>22.10.1201:00</b> 0.07
 -------- 1.42 02:00 0.05
 -------- 1.41 03:00 0.05
 -------- 1.41 04:00 0.04
 -------- 1.40 05:00 0.06
 22.10.12 06:00 <b>22.10.1206:00</b> 0.12
 -------- 1.45 07:00 0.19
 -------- 1.50 08:00 0.18
 -------- 1.52 09:00 0.25
 -------- 1.56 10:00 0.24
 22.10.12 11:00 <b>22.10.1211:00</b> 0.27
 -------- 1.61 12:00 0.22
 -------- 1.49 13:00 0.19
 -------- 1.46 14:00 0.20
 -------- 1.47 15:00 0.17
 22.10.12 16:00 <b>22.10.1216:00</b> 0.17
 -------- 1.44 17:00 0.19
 -------- 1.47 18:00 0.15
 -------- 1.44 19:00 0.14
 -------- 1.45 20:00 0.11
 22.10.12 21:00 <b>22.10.1221:00</b> 0.15
 -------- 1.50 22:00 0.16
 -------- 1.46 23:00 0.13
