 Date Time CO SO2 H2S NO2 CHX NO
 27.03.13 00:00 0.12 0.01 0.12 0.30 1.50 0.31
 -------- 01:00 0.07 0.01 0.12 0.25 1.49 0.14
 -------- 02:00 0.06 0.00 0.12 0.25 1.49 0.21
 -------- 03:00 0.10 0.01 0.17 0.29 1.60 0.36
 -------- 04:00 0.13 0.01 0.25 0.33 1.61 0.53
 27.03.13 05:00 0.15 0.01 0.17 0.32 1.62 0.58
 -------- 06:00 0.26 0.01 0.25 0.36 1.70 0.81
 -------- 07:00 0.25 0.01 0.25 0.35 1.74 0.60
 -------- 08:00 0.24 0.01 0.25 0.34 1.74 0.48
 -------- 09:00 0.19 0.01 0.25 0.32 1.71 0.36
 27.03.13 10:00 0.14 0.01 0.17 0.27 1.58 0.24
 -------- 11:00 0.09 0.01 0.12 0.20 1.53 0.14
 -------- 12:00 0.11 0.01 0.12 0.21 1.54 0.21
 -------- 13:00 0.07 0.01 0.12 0.15 1.48 0.11
 -------- 14:00 0.08 0.01 0.12 0.17 1.45 0.14
 27.03.13 15:00 0.09 0.01 0.12 0.18 1.48 0.14
 -------- 16:00 0.09 0.01 0.12 0.20 1.49 0.15
 -------- 17:00 0.11 0.01 0.12 0.17 1.58 0.10
 -------- 18:00 0.11 0.01 0.12 0.20 1.53 0.11
 -------- 19:00 0.07 0.00 0.12 0.18 1.52 0.06
 27.03.13 20:00 0.06 0.01 0.12 0.19 1.48 0.04
 -------- 21:00 0.09 0.01 0.12 0.27 1.53 0.07
 -------- 22:00 0.13 0.01 0.12 0.31 1.56 0.21
 -------- 23:00 0.27 0.01 0.25 0.39 1.69 0.68
 -------- 00:00 0.19 0.01 0.21 0.39 1.60 0.50
 28.03.13 01:00 0.13 0.01 0.21 0.36 1.56 0.31
 -------- 02:00 0.09 0.01 0.21 0.34 1.57 0.28
 -------- 03:00 0.08 0.01 0.21 0.33 1.58 0.28
 -------- 04:00 0.09 0.01 0.21 0.32 1.58 0.25
 -------- 05:00 0.09 0.01 0.17 0.32 1.56 0.39
 28.03.13 06:00 0.17 0.01 0.25 0.34 1.60 0.59
 -------- 07:00 0.24 0.01 0.25 0.36 1.65 0.59
 -------- 08:00 0.29 0.01 0.25 0.37 1.72 0.53
 -------- 09:00 0.27 0.01 0.25 0.35 1.69 0.41
 -------- 10:00 0.17 0.01 0.25 0.32 1.61 0.35
 28.03.13 11:00 0.12 0.01 0.17 0.28 1.56 0.25
 -------- 12:00 0.07 0.01 0.17 0.20 1.49 0.13
 -------- 13:00 0.07 0.01 0.12 0.19 1.50 0.14
 -------- 14:00 0.05 0.01 0.12 0.17 1.54 0.13
 -------- 15:00 0.10 0.01 0.12 0.25 1.65 0.22
 28.03.13 16:00 0.15 0.01 0.17 0.32 1.85 0.29
 -------- 17:00 0.11 0.01 0.12 0.25 1.70 0.17
 -------- 18:00 0.07 0.01 0.12 0.25 1.71 0.13
 -------- 19:00 0.15 0.01 0.12 0.33 1.76 0.19
 -------- 20:00 0.22 0.01 0.21 0.41 1.69 0.36
 28.03.13 21:00 0.19 0.01 0.21 0.39 1.64 0.28
 -------- 22:00 0.16 0.01 0.25 0.38 1.58 0.27
 -------- 23:00 0.17 0.01 0.17 0.37 1.58 0.33
