 Date Time CO SO2 H2S NO2 CHX NO
 17.03.13 12:00 0.09 0.00 0.12 0.07 1.48 0.07
 -------- 13:00 0.07 0.00 0.12 0.07 1.46 0.06
 -------- 14:00 0.10 0.00 0.12 0.07 1.48 0.07
 -------- 15:00 0.11 0.00 0.12 0.08 1.49 0.09
 -------- 16:00 0.11 0.00 0.12 0.09 1.49 0.09
 17.03.13 17:00 0.09 0.00 0.12 0.07 1.47 0.07
 -------- 18:00 0.11 0.00 ---- 0.09 1.53 0.09
 -------- 19:00 0.10 0.00 0.12 0.08 1.52 0.07
 -------- 20:00 0.12 0.00 0.12 0.09 1.57 0.09
 -------- 21:00 0.14 0.00 0.12 0.10 1.62 0.11
 17.03.13 22:00 0.15 0.00 0.12 0.11 1.53 0.12
 -------- 23:00 0.15 0.00 0.12 0.11 1.56 0.14
 -------- 00:00 0.12 0.00 0.12 0.11 1.56 0.13
 -------- 01:00 0.10 0.00 0.12 0.10 1.55 0.11
 -------- 02:00 0.08 0.00 0.12 0.10 1.55 0.10
 18.03.13 03:00 0.07 0.00 0.12 0.09 1.54 0.11
 -------- 04:00 0.07 0.00 0.12 0.09 1.56 0.10
 -------- 05:00 0.06 0.00 0.12 0.09 1.58 0.12
 -------- 06:00 0.08 0.00 0.12 0.09 1.57 0.11
 -------- 07:00 0.14 0.00 0.17 0.10 1.61 0.15
 18.03.13 08:00 0.21 0.00 0.25 0.11 1.75 0.19
 -------- 09:00 0.23 0.00 0.25 0.12 1.76 0.22
 -------- 10:00 0.22 0.00 0.21 0.12 1.77 0.20
 -------- 11:00 0.25 0.00 0.25 0.13 1.78 0.23
 -------- 12:00 0.20 0.01 0.25 0.12 1.74 0.18
 18.03.13 13:00 0.21 0.01 0.25 0.13 1.67 0.19
 -------- 14:00 0.16 0.01 0.25 0.12 1.59 0.16
