 Date Time CO NO2 CHX NO
 17.09.12 00:00 0.20 0.10 1.54 0.19
 -------- 01:00 0.15 0.08 1.55 0.15
 -------- 02:00 0.15 0.08 1.57 0.18
 -------- 03:00 0.13 0.08 1.53 0.17
 -------- 04:00 0.10 0.07 1.54 0.12
 17.09.12 05:00 0.11 0.06 1.57 0.14
 -------- 06:00 0.15 0.06 1.60 0.22
 -------- 07:00 0.17 0.06 1.62 0.21
 -------- 08:00 0.22 0.07 1.64 0.20
 -------- 09:00 0.29 0.09 1.61 0.29
 17.09.12 10:00 0.24 0.10 1.60 0.21
 -------- 11:00 0.19 0.10 1.53 0.18
 -------- 12:00 0.15 0.09 1.46 0.13
 -------- 13:00 0.11 0.09 1.41 0.09
 -------- 14:00 0.15 0.10 1.40 0.11
 17.09.12 15:00 0.13 0.09 1.39 0.08
 -------- 16:00 0.19 0.12 1.42 0.13
 -------- 17:00 0.25 0.14 1.54 0.15
 -------- 18:00 0.24 0.12 1.52 0.12
 -------- 19:00 0.36 0.16 1.64 0.23
 17.09.12 20:00 0.41 0.15 1.86 0.25
 -------- 21:00 0.55 0.15 2.07 0.37
 -------- 22:00 0.72 0.14 2.20 0.55
 -------- 23:00 0.89 0.15 2.36 0.84
 -------- 00:00 0.73 0.13 2.43 0.76
 18.09.12 01:00 0.39 0.14 2.05 0.54
 -------- 02:00 0.38 0.15 2.01 0.67
 -------- 03:00 0.27 0.12 2.08 0.48
 -------- 04:00 0.22 0.12 1.96 0.45
 -------- 05:00 0.10 0.10 1.75 0.25
 18.09.12 06:00 0.11 0.11 1.74 0.29
 -------- 07:00 0.13 0.12 1.67 0.25
 -------- 08:00 0.17 0.11 1.64 0.23
 -------- 09:00 0.17 0.12 1.67 0.24
 -------- 10:00 0.18 0.12 1.60 0.19
 18.09.12 11:00 0.23 0.13 1.62 0.23
 -------- 12:00 0.20 0.13 1.50 0.18
 -------- 13:00 0.12 0.11 1.47 0.09
 -------- 14:00 0.09 0.09 1.40 0.06
 -------- 15:00 0.11 0.12 1.42 0.09
 18.09.12 16:00 0.11 0.10 1.41 0.06
 -------- 17:00 0.14 0.13 1.41 0.10
 -------- 18:00 0.15 0.13 1.44 0.09
 -------- 19:00 0.17 0.14 1.50 0.10
 -------- 20:00 0.18 0.15 1.54 0.10
 18.09.12 21:00 0.23 0.16 1.61 0.15
 -------- 22:00 0.26 0.15 1.69 0.20
 -------- 23:00 0.23 0.15 1.80 0.21
