 Date Time CO NO2 CHX NO PM2.5
 28.01.13 00:00 0.15 0.26 1.76 0.45 ----
 -------- 01:00 0.05 0.23 1.67 0.20 ----
 -------- 02:00 ---- 0.22 1.66 0.13 ----
 -------- 03:00 ---- 0.22 1.69 0.10 ----
 -------- 04:00 ---- 0.21 1.66 0.12 ----
 28.01.13 05:00 ---- 0.21 1.65 0.13 ----
 -------- 06:00 0.02 0.23 1.64 0.20 ----
 -------- 07:00 0.05 0.24 1.70 0.29 ----
 -------- 08:00 0.11 0.25 1.76 0.37 ----
 -------- 09:00 0.12 0.28 1.75 0.39 ----
 28.01.13 10:00 0.11 0.26 1.76 0.40 ----
 -------- 11:00 0.13 0.27 1.81 0.44 ----
 -------- 12:00 0.09 0.26 1.77 0.37 ----
 -------- 13:00 0.06 0.24 1.79 0.29 ----
 -------- 14:00 0.05 0.23 1.70 0.23 ----
 28.01.13 15:00 0.05 0.22 1.66 0.18 ----
 -------- 16:00 0.04 0.22 1.66 0.16 ----
 -------- 17:00 0.03 0.22 1.66 0.12 ----
 -------- 18:00 0.02 0.21 1.71 0.07 ----
 -------- 19:00 0.02 0.21 1.65 0.07 ----
 28.01.13 20:00 0.03 0.20 1.66 0.07 ----
 -------- 21:00 0.02 0.20 1.65 0.07 ----
 -------- 22:00 ---- 0.20 1.64 0.09 ----
 -------- 23:00 ---- 0.19 1.64 0.09 ----
 -------- 00:00 ---- 0.20 1.66 0.12 ----
 29.01.13 01:00 ---- 0.19 1.65 0.09 ----
 -------- 02:00 ---- 0.19 1.61 0.06 ----
 -------- 03:00 ---- 0.19 1.60 0.08 ----
 -------- 04:00 ---- 0.17 1.59 0.03 ----
 -------- 05:00 ---- 0.19 1.59 0.06 ----
 29.01.13 06:00 0.03 0.19 1.72 0.17 ----
 -------- 07:00 0.03 0.21 1.78 0.20 ----
 -------- 08:00 0.06 0.23 1.79 0.25 ----
 -------- 09:00 0.07 0.23 1.81 0.29 ----
 -------- 10:00 0.07 0.22 1.81 0.26 ----
 29.01.13 11:00 0.12 0.22 1.88 0.34 ----
 -------- 12:00 0.11 0.21 1.96 0.29 ----
 -------- 13:00 0.05 0.20 1.80 0.16 ----
 -------- 14:00 0.05 0.20 1.79 0.17 ----
 -------- 15:00 0.07 0.20 1.88 0.22 ----
 29.01.13 16:00 0.04 0.19 1.75 0.13 ----
 -------- 17:00 0.06 0.21 1.73 0.15 ----
 -------- 18:00 0.05 0.21 1.71 0.16 ----
 -------- 19:00 0.04 0.20 1.68 0.12 ----
 -------- 20:00 0.04 0.20 1.67 0.09 ----
 29.01.13 21:00 0.03 0.19 1.64 0.09 ----
 -------- 22:00 0.02 0.19 1.66 0.10 ----
 -------- 23:00 0.02 0.19 1.64 0.10 ----
