 Date Time CO NO2 CHX NO PM2.5
 31.12.12 00:00 0.05 0.17 1.69 0.21 ----
 -------- 01:00 0.04 0.17 1.72 0.24 ----
 -------- 02:00 0.04 0.17 1.81 0.23 ----
 -------- 03:00 0.02 0.17 1.74 0.22 ----
 -------- 04:00 0.05 0.18 1.80 0.29 ----
 31.12.12 05:00 0.04 0.16 1.71 0.21 ----
 -------- 06:00 ---- 0.14 1.64 0.12 ----
 -------- 07:00 ---- 0.13 1.63 0.14 ----
 -------- 08:00 ---- 0.13 1.57 0.11 ----
 -------- 09:00 ---- 0.13 1.57 0.10 ----
 31.12.12 10:00 0.02 0.13 1.57 0.12 ----
 -------- 11:00 ---- 0.13 1.57 0.12 ----
 -------- 12:00 0.02 0.14 1.60 0.13 ----
 -------- 13:00 ---- 0.14 1.64 0.14 ----
 -------- 14:00 ---- 0.14 1.59 0.13 ----
 31.12.12 15:00 0.02 0.15 1.59 0.13 ----
 -------- 16:00 0.02 0.15 1.62 0.13 ----
 -------- 17:00 ---- 0.14 1.56 0.05 ----
 -------- 18:00 0.04 0.15 1.60 0.06 ----
 -------- 19:00 0.03 0.14 1.60 0.07 ----
 31.12.12 20:00 ---- 0.13 1.57 0.05 ----
 -------- 21:00 ---- 0.12 1.61 0.06 ----
 -------- 22:00 ---- 0.11 1.60 0.04 ----
 -------- 23:00 ---- 0.11 1.56 0.03 ----
 -------- 00:00 ---- 0.08 1.52 0.01 ----
 01.01.13 01:00 0.04 0.11 1.60 0.07 ----
 -------- 02:00 0.03 0.12 1.67 0.11 ----
 -------- 03:00 0.04 0.11 1.61 0.09 ----
 -------- 04:00 0.02 0.10 1.58 0.06 ----
 -------- 05:00 ---- 0.09 1.52 0.03 ----
 01.01.13 06:00 0.02 0.09 1.56 0.06 ----
 -------- 07:00 0.04 0.13 1.58 0.10 ----
 -------- 08:00 ---- 0.08 1.49 0.01 ----
 -------- 09:00 ---- 0.09 1.48 0.01 ----
 -------- 10:00 ---- 0.08 1.48 0.01 ----
 01.01.13 11:00 ---- 0.11 1.51 0.02 ----
 -------- 12:00 ---- 0.12 1.53 0.04 ----
 -------- 13:00 ---- 0.12 1.63 0.02 ----
 -------- 14:00 ---- 0.10 1.55 0.01 ----
 -------- 15:00 ---- 0.09 1.52 0.02 ----
 01.01.13 16:00 ---- 0.10 1.52 0.03 ----
 -------- 17:00 ---- 0.12 1.58 0.05 ----
 -------- 18:00 0.02 0.15 1.62 0.09 ----
 -------- 19:00 ---- 0.13 1.56 0.04 ----
 -------- 20:00 ---- 0.13 1.55 0.04 ----
 01.01.13 21:00 ---- 0.13 1.57 0.05 ----
 -------- 22:00 ---- 0.13 1.57 0.05 ----
 -------- 23:00 ---- 0.12 1.56 0.04 ----
