 Date Time CO NO2 CHX NO PM2.5
 13.04.13 00:00 0.24 0.45 1.69 0.35 ----
 -------- 01:00 0.17 0.44 1.68 0.29 ----
 -------- 02:00 0.16 0.45 1.70 0.33 ----
 -------- 03:00 0.19 0.44 1.75 0.39 ----
 -------- 04:00 0.17 0.43 1.75 0.36 ----
 13.04.13 05:00 0.19 0.43 1.89 0.46 ----
 -------- 06:00 0.19 0.43 1.93 0.48 ----
 -------- 07:00 0.20 0.43 1.79 0.51 ----
 -------- 08:00 0.19 0.42 1.81 0.40 ----
 -------- 09:00 0.15 0.40 1.87 0.32 ----
 13.04.13 10:00 0.11 0.38 1.82 0.23 ----
 -------- 11:00 0.09 0.30 1.56 0.13 ----
 -------- 12:00 0.06 0.25 1.55 0.09 ----
 -------- 13:00 0.05 0.24 1.50 0.09 ----
 -------- 14:00 0.05 0.23 1.50 0.08 ----
 13.04.13 15:00 0.07 0.25 1.52 0.11 ----
 -------- 16:00 0.10 0.28 1.53 0.10 ----
 -------- 17:00 0.09 0.28 1.51 0.10 ----
 -------- 18:00 0.09 0.30 1.52 0.10 ----
 -------- 19:00 0.11 0.34 1.53 0.12 ----
 13.04.13 20:00 0.14 0.37 1.52 0.15 ----
 -------- 21:00 0.14 0.39 1.54 0.17 ----
 -------- 22:00 0.20 0.43 1.63 0.28 ----
 -------- 23:00 0.17 0.39 1.56 0.24 ----
 -------- 00:00 0.13 0.39 1.57 0.21 ----
 14.04.13 01:00 0.09 0.34 1.56 0.12 ----
 -------- 02:00 0.10 0.35 1.56 0.14 ----
 -------- 03:00 0.07 0.32 1.56 0.11 ----
 -------- 04:00 0.06 0.31 1.55 0.10 ----
 -------- 05:00 0.05 0.29 1.55 0.08 ----
 14.04.13 06:00 0.07 0.31 1.57 0.12 ----
 -------- 07:00 0.08 0.32 1.56 0.15 ----
 -------- 08:00 0.09 0.32 1.56 0.14 ----
 -------- 09:00 0.11 0.33 1.52 0.18 ----
 -------- 10:00 0.11 0.34 1.53 0.20 ----
 14.04.13 11:00 0.11 0.33 1.53 0.17 ----
 -------- 12:00 0.10 0.29 1.49 0.12 ----
 -------- 13:00 0.09 0.29 1.49 0.11 ----
 -------- 14:00 0.10 0.32 1.49 0.12 ----
 -------- 15:00 0.07 0.27 1.48 0.08 ----
 14.04.13 16:00 0.09 0.28 1.48 0.08 ----
 -------- 17:00 0.12 0.35 1.50 0.12 ----
 -------- 18:00 0.13 0.37 1.51 0.13 ----
 -------- 19:00 0.12 0.37 1.50 0.12 ----
 -------- 20:00 0.22 0.50 1.61 0.27 ----
 14.04.13 21:00 0.23 0.52 1.66 0.33 ----
 -------- 22:00 0.25 0.51 1.75 0.36 ----
 -------- 23:00 0.22 0.47 1.72 0.34 ----
