 Date Time CO NO2 CHX NO
 14.11.12 00:00 0.08 0.16 1.40 0.16
 -------- 01:00 0.07 0.15 1.40 0.13
 -------- 02:00 0.05 0.14 1.40 0.13
 -------- 03:00 0.04 0.13 1.37 0.08
 -------- 04:00 0.04 0.14 1.37 0.08
 14.11.12 05:00 0.05 0.15 1.37 0.11
 -------- 06:00 0.07 0.16 1.38 0.13
 -------- 07:00 0.10 0.21 1.40 0.17
 -------- 08:00 0.15 0.22 1.43 0.20
 -------- 09:00 0.16 0.22 1.45 0.22
 14.11.12 10:00 0.16 0.22 1.45 0.24
 -------- 11:00 0.13 0.20 1.44 0.19
 -------- 12:00 0.15 0.21 1.46 0.25
 -------- 13:00 0.15 0.20 1.44 0.24
 -------- 14:00 0.13 0.19 1.42 0.19
 14.11.12 15:00 0.18 0.21 1.46 0.23
 -------- 16:00 0.14 0.18 1.46 0.18
 -------- 17:00 0.18 0.19 1.49 0.18
 -------- 18:00 0.17 0.17 1.52 0.18
 -------- 19:00 0.17 0.17 1.50 0.18
 14.11.12 20:00 0.16 0.14 1.49 0.16
 -------- 21:00 0.17 0.15 1.54 0.18
 -------- 22:00 0.19 0.16 1.61 0.20
 -------- 23:00 0.09 0.13 1.46 0.17
 -------- 00:00 0.07 0.10 1.39 0.09
 15.11.12 01:00 0.05 0.10 1.38 0.08
 -------- 02:00 0.03 0.08 1.38 0.06
 -------- 03:00 0.02 0.07 1.37 0.04
 -------- 04:00 0.02 0.06 1.37 0.03
 -------- 05:00 0.02 0.04 1.36 0.03
 15.11.12 06:00 0.04 0.08 1.39 0.09
 -------- 07:00 0.07 0.10 1.44 0.12
 -------- 08:00 0.10 0.11 1.46 0.12
 -------- 09:00 0.11 0.12 1.45 0.13
 -------- 10:00 0.13 0.12 1.45 0.17
 15.11.12 11:00 0.11 0.11 1.44 0.14
 -------- 12:00 0.09 0.10 1.42 0.11
 -------- 13:00 0.08 0.09 1.42 0.10
 -------- 14:00 0.07 0.08 1.41 0.09
 -------- 15:00 0.07 0.08 1.41 0.07
 15.11.12 16:00 0.07 0.08 1.40 0.07
 -------- 17:00 0.07 0.08 1.42 0.06
 -------- 18:00 0.09 0.09 1.44 0.06
 -------- 19:00 0.07 0.10 1.42 0.05
 -------- 20:00 0.10 0.10 1.43 0.06
 15.11.12 21:00 0.12 0.11 1.46 0.08
 -------- 22:00 0.11 0.11 1.42 0.09
 -------- 23:00 0.08 0.11 1.40 0.09
