 Date Time CO NO2 CHX NO PM2.5
 08.04.13 00:00 0.13 0.31 1.60 0.23 ----
 -------- 01:00 0.09 0.28 1.53 0.20 ----
 -------- 02:00 0.08 0.27 1.53 0.18 ----
 -------- 03:00 0.13 0.34 1.69 0.44 ----
 -------- 04:00 0.14 0.33 1.68 0.41 ----
 08.04.13 05:00 0.13 0.29 1.68 0.33 ----
 -------- 06:00 0.23 0.32 1.76 0.60 ----
 -------- 07:00 0.29 0.34 1.84 0.60 ----
 -------- 08:00 0.24 0.34 1.79 0.39 ----
 -------- 09:00 0.15 0.34 1.62 0.24 ----
 08.04.13 10:00 0.10 0.27 1.51 0.17 ----
 -------- 11:00 0.09 0.25 1.47 0.17 ----
 -------- 12:00 0.09 0.25 1.49 0.17 ----
 -------- 13:00 0.06 0.19 1.45 0.11 ----
 -------- 14:00 0.05 0.20 1.45 0.11 ----
 08.04.13 15:00 0.05 0.19 1.43 0.09 ----
 -------- 16:00 0.10 0.21 1.48 0.10 ----
 -------- 17:00 0.07 0.18 1.46 0.07 ----
 -------- 18:00 0.11 0.27 1.48 0.12 ----
 -------- 19:00 0.12 0.27 1.49 0.10 ----
 08.04.13 20:00 0.20 0.35 1.55 0.18 ----
 -------- 21:00 0.19 0.36 1.57 0.22 ----
 -------- 22:00 0.30 0.41 1.66 0.50 ----
 -------- 23:00 0.31 0.45 1.66 0.57 ----
 -------- 00:00 0.33 0.45 1.80 0.68 ----
 09.04.13 01:00 0.31 0.44 1.77 0.75 ----
 -------- 02:00 0.23 0.42 1.74 0.64 ----
 -------- 03:00 0.19 0.41 1.76 0.67 ----
 -------- 04:00 0.15 0.38 1.77 0.45 ----
 -------- 05:00 0.18 0.38 1.82 0.58 ----
 09.04.13 06:00 0.26 0.36 2.03 0.54 ----
 -------- 07:00 0.25 0.41 2.05 0.59 ----
 -------- 08:00 0.23 0.41 1.85 0.45 ----
 -------- 09:00 0.17 0.39 1.74 0.36 ----
 -------- 10:00 0.21 0.41 1.74 0.37 ----
 09.04.13 11:00 0.15 0.38 1.62 0.26 ----
 -------- 12:00 0.16 0.38 1.62 0.27 ----
 -------- 13:00 0.15 0.38 1.61 0.25 ----
 -------- 14:00 0.12 0.35 1.57 0.16 ----
 -------- 15:00 0.13 0.36 1.60 0.20 ----
 09.04.13 16:00 0.21 0.44 1.67 0.31 ----
 -------- 17:00 0.21 0.45 1.94 0.31 ----
 -------- 18:00 0.17 0.39 1.75 0.12 ----
 -------- 19:00 0.08 0.34 1.61 0.06 ----
 -------- 20:00 0.09 0.35 1.62 0.05 ----
 09.04.13 21:00 0.17 0.43 1.71 0.19 ----
 -------- 22:00 0.22 0.43 1.71 0.29 ----
 -------- 23:00 0.22 0.44 1.77 0.35 ----
