 Date Time CO SO2 H2S NO2 CHX NO
 04.02.13 00:00 ---- 0.01 ---- 0.12 1.50 0.02
 -------- 01:00 ---- ---- ---- 0.12 1.50 0.02
 -------- 02:00 ---- ---- 0.12 0.13 1.51 0.02
 -------- 03:00 ---- 0.00 0.12 0.13 1.52 0.03
 -------- 04:00 ---- 0.00 0.12 0.11 1.51 0.02
 04.02.13 05:00 ---- 0.00 0.12 0.11 1.49 0.04
 -------- 06:00 0.06 0.00 0.17 0.17 1.57 0.30
 -------- 07:00 0.10 0.00 0.12 0.21 1.64 0.43
 -------- 08:00 0.25 0.00 0.12 0.22 1.76 0.54
 -------- 09:00 0.22 ---- ---- 0.19 1.84 0.44
 04.02.13 10:00 0.30 ---- 0.12 0.20 1.93 0.53
 -------- 11:00 0.35 ---- 0.12 0.21 1.98 0.65
 -------- 12:00 0.23 ---- ---- 0.22 2.00 0.68
 -------- 13:00 0.09 ---- ---- 0.20 1.81 0.56
 -------- 14:00 0.08 ---- ---- 0.16 1.63 0.30
 04.02.13 15:00 ---- ---- ---- 0.13 1.70 0.14
 -------- 16:00 ---- ---- ---- 0.10 1.59 0.04
 -------- 17:00 0.02 ---- ---- 0.12 1.57 0.07
 -------- 18:00 0.15 ---- ---- 0.14 1.63 0.13
 -------- 19:00 0.17 ---- ---- 0.14 1.58 0.12
 04.02.13 20:00 0.13 ---- ---- 0.14 1.54 0.11
 -------- 21:00 0.09 ---- ---- 0.15 1.52 0.09
 -------- 22:00 0.10 ---- ---- 0.15 1.50 0.10
 -------- 23:00 0.07 ---- ---- 0.13 1.49 0.08
 -------- 00:00 0.07 0.00 0.12 0.12 1.49 0.08
 05.02.13 01:00 0.06 0.00 0.17 0.11 1.46 0.07
 -------- 02:00 0.04 0.01 0.25 0.11 1.43 0.05
 -------- 03:00 0.04 0.01 0.25 0.12 1.44 0.05
 -------- 04:00 0.02 0.01 0.25 0.09 1.41 0.02
 -------- 05:00 ---- 0.01 0.25 0.09 1.41 0.02
 05.02.13 06:00 0.02 0.01 0.17 0.11 1.44 0.05
 -------- 07:00 0.02 0.00 0.12 0.09 1.46 0.03
 -------- 08:00 0.04 0.00 0.12 0.14 1.52 0.07
 -------- 09:00 0.03 0.00 ---- 0.12 1.47 0.03
 -------- 10:00 0.02 ---- ---- 0.12 1.45 0.03
 05.02.13 11:00 0.04 ---- ---- 0.14 1.48 0.07
 -------- 12:00 0.07 ---- ---- 0.17 1.55 0.12
 -------- 13:00 0.06 ---- ---- 0.16 1.58 0.12
 -------- 14:00 0.10 ---- ---- 0.16 1.58 0.11
 -------- 15:00 0.09 ---- ---- 0.17 1.58 0.12
 05.02.13 16:00 0.05 ---- ---- 0.16 1.55 0.07
 -------- 17:00 0.07 ---- ---- 0.16 1.53 0.06
 -------- 18:00 0.10 ---- ---- 0.19 1.56 0.07
