 Date Time CO NO2 CHX NO PM2.5
 15.04.13 12:00 0.09 0.36 1.53 0.15 ----
 -------- 13:00 0.09 0.34 1.56 0.13 ----
 -------- 14:00 0.08 0.34 1.56 0.10 ----
 -------- 15:00 0.09 0.35 1.56 0.10 ----
 -------- 16:00 0.07 0.31 1.51 0.09 ----
 15.04.13 17:00 0.09 0.33 1.50 0.10 ----
 -------- 18:00 0.09 0.28 1.48 0.06 ----
 -------- 19:00 0.11 0.35 1.54 0.07 ----
 -------- 20:00 0.13 0.39 1.56 0.07 ----
 -------- 21:00 0.13 0.45 1.55 0.09 ----
 15.04.13 22:00 0.21 0.53 1.65 0.27 ----
 -------- 23:00 0.17 0.52 1.62 0.24 ----
 -------- 00:00 0.13 0.48 1.62 0.13 ----
 -------- 01:00 0.09 0.41 1.57 0.10 ----
 -------- 02:00 0.08 0.39 1.56 0.12 ----
 16.04.13 03:00 0.09 0.41 1.57 0.18 ----
 -------- 04:00 0.05 0.31 1.51 0.05 ----
 -------- 05:00 0.09 0.39 1.56 0.19 ----
 -------- 06:00 0.08 0.34 1.54 0.11 ----
 -------- 07:00 0.10 0.35 1.56 0.12 ----
 16.04.13 08:00 0.21 0.45 1.67 0.29 ----
 -------- 09:00 0.16 0.40 1.61 0.19 ----
 -------- 10:00 0.13 0.37 1.57 0.15 ----
 -------- 11:00 0.12 0.34 1.56 0.14 ----
 -------- 12:00 0.11 0.31 1.53 0.11 ----
 16.04.13 13:00 0.09 0.30 1.50 0.10 ----
 -------- 14:00 0.07 0.24 1.44 0.07 ----
 -------- 15:00 0.09 0.28 1.47 0.09 ----
 -------- 16:00 0.07 0.25 1.45 0.07 ----
 -------- 17:00 0.10 0.30 1.47 0.10 ----
 16.04.13 18:00 0.11 0.32 1.48 0.11 ----
 -------- 19:00 0.11 0.31 1.48 0.09 ----
 -------- 20:00 0.20 0.41 1.58 0.16 ----
 -------- 21:00 0.33 0.51 1.74 0.33 ----
 -------- 22:00 0.23 0.48 1.64 0.29 ----
 16.04.13 23:00 0.23 0.47 1.62 0.34 ----
 -------- 00:00 0.23 0.47 1.64 0.36 ----
 -------- 01:00 0.21 0.47 1.68 0.38 ----
 -------- 02:00 0.13 0.43 1.70 0.22 ----
 -------- 03:00 0.07 0.37 1.60 0.09 ----
 17.04.13 04:00 0.09 0.37 1.60 0.19 ----
 -------- 05:00 0.10 0.37 1.64 0.24 ----
 -------- 06:00 0.15 0.38 1.68 0.34 ----
 -------- 07:00 0.16 0.37 1.69 0.24 ----
 -------- 08:00 0.17 0.38 1.68 0.23 ----
 17.04.13 09:00 0.15 0.38 1.63 0.19 ----
 -------- 10:00 0.14 0.35 1.62 0.17 ----
 -------- 11:00 0.09 0.31 1.50 0.13 ----
