 Date Time CO NO2 CHX NO PM2.5
 03.03.13 00:00 0.13 0.13 1.60 0.15 ----
 -------- 01:00 0.19 0.13 1.63 0.16 ----
 -------- 02:00 0.25 0.14 1.84 0.24 ----
 -------- 03:00 0.25 0.14 1.89 0.27 ----
 -------- 04:00 0.23 0.13 1.87 0.24 ----
 03.03.13 05:00 0.16 0.11 1.84 0.14 ----
 -------- 06:00 0.15 0.13 1.77 0.15 ----
 -------- 07:00 0.08 0.12 1.79 0.11 ----
 -------- 08:00 0.08 0.12 1.72 0.11 ----
 -------- 09:00 0.05 0.11 1.56 0.09 ----
 03.03.13 10:00 0.06 0.10 1.55 0.07 ----
 -------- 11:00 0.09 0.09 1.50 0.07 ----
 -------- 12:00 0.11 0.10 1.52 0.08 ----
 -------- 13:00 0.11 0.10 1.54 0.08 ----
 -------- 14:00 0.11 0.10 1.51 0.07 ----
 03.03.13 15:00 0.12 0.10 1.52 0.08 ----
 -------- 16:00 0.14 0.11 1.55 0.09 ----
 -------- 17:00 0.14 0.11 1.51 0.09 ----
 -------- 18:00 0.12 0.10 1.52 0.06 ----
 -------- 19:00 0.12 0.10 1.60 0.06 ----
 03.03.13 20:00 0.11 0.10 1.64 0.07 ----
 -------- 21:00 0.09 0.10 1.58 0.06 ----
 -------- 22:00 0.07 0.09 1.53 0.06 ----
 -------- 23:00 0.05 0.07 1.50 0.05 ----
 -------- 00:00 0.03 0.07 1.48 0.05 ----
 04.03.13 01:00 0.03 0.07 1.45 0.05 ----
 -------- 02:00 0.02 0.07 1.45 0.06 ----
 -------- 03:00 0.02 0.07 1.43 0.06 ----
 -------- 04:00 0.02 0.06 1.41 0.06 ----
 -------- 05:00 0.02 0.06 1.42 0.05 ----
 04.03.13 06:00 0.05 0.07 1.47 0.06 ----
 -------- 07:00 0.13 0.09 1.54 0.09 ----
 -------- 08:00 0.13 0.10 1.60 0.09 ----
 -------- 09:00 0.13 0.11 1.65 0.10 ----
 -------- 10:00 0.14 0.11 1.64 0.12 ----
 04.03.13 11:00 0.15 0.11 1.71 0.13 ----
 -------- 12:00 0.17 0.11 1.76 0.13 ----
 -------- 13:00 0.19 0.11 1.68 0.12 ----
 -------- 14:00 0.18 0.11 1.63 0.12 ----
 -------- 15:00 0.19 0.12 1.61 0.12 ----
 04.03.13 16:00 0.19 0.11 1.62 0.10 ----
 -------- 17:00 0.17 0.11 1.69 0.09 ----
 -------- 18:00 0.19 0.11 1.74 0.09 ----
 -------- 19:00 0.21 0.13 1.67 0.10 ----
 -------- 20:00 0.17 0.10 1.66 0.07 ----
 04.03.13 21:00 0.14 0.11 1.61 0.08 ----
 -------- 22:00 0.17 0.12 1.63 0.11 ----
 -------- 23:00 0.12 0.12 1.55 0.15 ----
