 Date Time CO SO2 CHX
 01.04.13 00:00 0.12 0.01 1.67
 -------- 01:00 0.12 0.01 1.62
 -------- 02:00 0.13 0.01 1.73
 -------- 03:00 0.13 0.01 1.83
 -------- 04:00 0.10 0.00 1.87
 01.04.13 05:00 0.11 0.01 2.21
 -------- 06:00 0.12 0.01 2.13
 -------- 07:00 0.11 0.03 2.06
 -------- 08:00 0.09 0.04 1.75
 -------- 09:00 0.07 0.01 1.52
 01.04.13 10:00 0.04 0.01 1.48
 -------- 11:00 0.04 0.01 1.47
 -------- 12:00 0.04 0.00 1.43
 -------- 13:00 0.04 0.00 1.43
 -------- 14:00 0.04 0.01 1.43
 01.04.13 15:00 0.02 0.00 1.42
 -------- 16:00 0.02 0.01 1.43
 -------- 17:00 0.02 0.01 1.44
 -------- 18:00 0.05 0.00 1.46
 -------- 19:00 0.04 0.01 1.49
 01.04.13 20:00 0.06 0.00 1.51
 -------- 21:00 0.05 0.00 1.52
 -------- 22:00 0.03 0.00 1.46
 -------- 23:00 0.02 0.00 1.44
 -------- 00:00 0.02 0.00 1.48
 02.04.13 01:00 0.03 0.00 1.50
 -------- 02:00 0.02 0.01 1.44
 -------- 03:00 ---- 0.00 1.39
 -------- 04:00 ---- 0.00 1.41
 -------- 05:00 0.06 0.00 1.46
 02.04.13 06:00 ---- 0.00 1.43
 -------- 07:00 0.03 0.00 1.45
 -------- 08:00 0.05 0.00 1.46
 -------- 09:00 0.05 0.01 1.43
 -------- 10:00 0.04 0.00 1.44
 02.04.13 11:00 0.04 0.00 1.43
 -------- 12:00 0.04 0.00 1.43
 -------- 13:00 0.04 0.01 1.44
 -------- 14:00 0.04 0.01 1.43
 -------- 15:00 0.04 0.01 1.42
 02.04.13 16:00 0.04 0.00 1.43
 -------- 17:00 0.04 0.00 1.43
 -------- 18:00 0.04 0.00 1.44
 -------- 19:00 0.09 0.01 1.46
 -------- 20:00 0.09 0.00 1.45
 02.04.13 21:00 0.08 0.00 1.45
 -------- 22:00 0.08 0.00 1.44
 -------- 23:00 0.08 0.00 1.44
