 Date Time CO SO2 NO2 CHX NO
 23.12.12 12:00 0.18 0.01 0.35 1.64 0.14
 -------- 13:00 0.17 0.01 0.36 1.65 0.13
 -------- 14:00 0.16 0.01 0.36 1.63 0.11
 -------- 15:00 0.19 0.01 0.40 1.73 0.15
 -------- 16:00 0.22 0.01 0.44 1.80 0.20
 23.12.12 17:00 0.26 0.01 0.47 1.80 0.29
 -------- 18:00 0.23 0.01 0.46 1.72 0.20
 -------- 19:00 0.15 0.01 0.43 1.74 0.16
 -------- 20:00 0.09 0.01 0.41 1.65 0.10
 -------- 21:00 0.09 0.01 0.41 1.67 0.11
 23.12.12 22:00 0.12 0.01 0.42 1.73 0.17
 -------- 23:00 0.13 0.01 0.42 1.71 0.18
 -------- 00:00 0.14 0.01 0.42 1.65 0.17
 -------- 01:00 0.15 0.01 0.45 1.70 0.22
 -------- 02:00 0.18 0.01 0.49 1.76 0.29
 24.12.12 03:00 0.17 0.03 0.49 1.87 0.29
 -------- 04:00 0.09 0.02 0.46 1.85 0.19
 -------- 05:00 0.07 0.02 0.47 2.13 0.23
 -------- 06:00 0.07 0.02 0.46 2.04 0.19
 -------- 07:00 0.11 0.01 0.43 1.73 0.16
 24.12.12 08:00 0.18 0.01 0.48 1.75 0.28
 -------- 09:00 0.22 0.02 0.54 1.83 0.35
 -------- 10:00 0.31 0.02 0.55 2.06 0.47
 -------- 11:00 0.25 0.02 0.54 1.96 0.43
 -------- 12:00 0.15 0.02 0.48 1.76 0.32
 24.12.12 13:00 0.16 0.01 0.48 1.87 0.28
 -------- 14:00 0.17 0.01 0.49 1.76 0.26
 -------- 15:00 0.15 0.02 0.49 1.67 0.23
 -------- 16:00 0.18 0.02 0.52 1.73 0.29
 -------- 17:00 0.21 0.02 0.48 1.79 0.30
 24.12.12 18:00 0.21 0.03 0.45 1.82 0.27
 -------- 19:00 0.18 0.02 0.42 1.79 0.24
 -------- 20:00 0.16 0.01 0.41 1.80 0.22
 -------- 21:00 0.10 0.01 0.39 1.68 0.11
 -------- 22:00 0.08 0.01 0.38 1.65 0.10
 24.12.12 23:00 0.08 0.01 0.38 1.62 0.10
 -------- 00:00 0.07 0.01 0.38 1.59 0.07
 -------- 01:00 0.05 0.01 0.37 1.57 0.05
 -------- 02:00 0.04 0.01 0.36 1.55 0.02
 -------- 03:00 0.04 0.00 0.34 1.53 0.00
 25.12.12 04:00 0.04 0.00 0.34 1.52 0.01
 -------- 05:00 0.04 0.00 0.33 1.52 0.01
 -------- 06:00 0.04 0.00 0.33 1.51 0.01
 -------- 07:00 0.06 0.01 0.32 1.52 0.02
 -------- 08:00 0.08 0.01 0.30 1.51 0.02
 25.12.12 09:00 0.08 0.01 0.31 1.50 0.03
 -------- 10:00 0.07 0.01 0.28 1.50 0.02
 -------- 11:00 0.08 0.01 0.29 1.51 0.04
