 Date Time CO SO2 NO2 CHX NO
 07.04.13 12:00 0.02 0.00 0.13 1.40 ----
 -------- 13:00 0.02 0.00 0.15 1.44 ----
 -------- 14:00 0.02 0.00 0.14 1.54 ----
 -------- 15:00 0.02 0.00 0.16 1.56 0.00
 -------- 16:00 0.02 0.00 0.16 1.42 ----
 07.04.13 17:00 0.02 0.00 0.15 1.37 ----
 -------- 18:00 0.02 0.00 0.16 1.43 ----
 -------- 19:00 0.04 0.00 0.13 1.37 ----
 -------- 20:00 0.04 0.00 0.17 1.47 ----
 -------- 21:00 0.05 0.00 0.16 1.40 ----
 07.04.13 22:00 0.04 0.00 0.15 1.39 ----
 -------- 23:00 0.04 0.00 0.18 1.40 ----
 -------- 00:00 0.04 0.00 0.23 1.40 ----
 -------- 01:00 0.04 0.00 0.19 1.41 ----
 -------- 02:00 0.05 0.01 0.19 1.42 ----
 08.04.13 03:00 0.06 0.00 0.29 1.46 0.00
 -------- 04:00 0.09 0.01 0.44 1.56 0.04
 -------- 05:00 0.09 0.00 0.44 1.60 0.06
 -------- 06:00 0.08 0.00 0.42 1.59 0.06
 -------- 07:00 0.13 0.00 0.38 1.61 0.12
 08.04.13 08:00 0.15 0.00 0.36 1.57 0.12
 -------- 09:00 0.10 0.00 0.28 1.47 0.07
 -------- 10:00 0.07 0.00 0.20 1.40 0.01
 -------- 11:00 0.06 0.00 0.19 1.40 0.02
 -------- 12:00 0.06 0.03 0.17 1.38 0.01
 08.04.13 13:00 0.05 0.03 0.15 1.35 0.01
 -------- 14:00 0.07 0.02 0.16 1.36 0.00
 -------- 15:00 0.06 0.00 0.12 1.34 ----
 -------- 16:00 0.06 0.00 0.11 1.33 ----
 -------- 17:00 0.07 0.01 0.12 1.33 ----
 08.04.13 18:00 0.06 0.02 0.09 1.32 ----
 -------- 19:00 0.04 0.00 0.11 1.34 ----
 -------- 20:00 0.04 0.00 0.13 1.34 ----
 -------- 21:00 0.05 0.00 0.23 1.41 ----
 -------- 22:00 0.08 0.00 0.38 1.44 0.07
 08.04.13 23:00 0.14 0.00 0.49 1.51 0.13
 -------- 00:00 0.23 0.01 0.41 1.66 0.30
 -------- 01:00 0.35 0.01 0.25 1.94 0.57
 -------- 02:00 0.34 0.01 0.27 2.05 0.59
 -------- 03:00 0.28 0.00 0.30 2.18 0.49
 09.04.13 04:00 0.26 0.00 0.37 1.94 0.32
 -------- 05:00 0.15 0.00 0.37 1.86 0.25
 -------- 06:00 0.17 0.00 0.38 1.97 0.27
 -------- 07:00 0.26 0.01 0.33 2.20 0.44
 -------- 08:00 0.31 0.01 0.29 2.17 0.66
 09.04.13 09:00 0.20 0.00 0.43 1.89 0.35
 -------- 10:00 0.17 0.02 0.52 1.80 0.28
 -------- 11:00 0.14 0.04 0.63 1.81 0.19
