 Date Time CO SO2 NO2 CHX NO
 06.12.12 00:00 ---- 0.00 0.33 1.46 0.06
 -------- 01:00 ---- 0.00 0.28 1.41 0.01
 -------- 02:00 ---- 0.00 0.30 1.47 0.07
 -------- 03:00 ---- 0.00 0.34 1.49 0.10
 -------- 04:00 ---- 0.00 0.29 1.49 0.05
 06.12.12 05:00 ---- 0.00 0.28 1.48 0.02
 -------- 06:00 ---- 0.00 0.28 1.47 0.04
 -------- 07:00 ---- 0.00 0.28 1.47 0.04
 -------- 08:00 ---- 0.00 0.28 1.45 0.04
 -------- 09:00 ---- 0.00 0.28 1.46 0.05
 06.12.12 10:00 0.08 0.00 0.28 1.45 0.06
 -------- 11:00 0.02 0.00 0.28 1.47 0.07
 -------- 12:00 0.02 0.00 0.28 1.48 0.08
 -------- 13:00 0.02 0.00 0.27 1.48 0.06
 -------- 14:00 ---- 0.00 0.27 1.45 0.05
 06.12.12 15:00 ---- 0.00 0.25 1.43 0.02
 -------- 16:00 ---- 0.00 0.25 1.44 0.02
 -------- 17:00 ---- 0.00 0.21 1.43 0.01
 -------- 18:00 0.03 0.00 0.18 1.40 0.00
 -------- 19:00 0.04 0.00 0.20 1.40 0.00
 06.12.12 20:00 0.04 0.00 0.26 1.42 0.02
 -------- 21:00 0.03 0.00 0.23 1.42 0.01
 -------- 22:00 0.03 0.01 0.21 1.44 0.00
 -------- 23:00 0.04 0.02 0.25 1.49 0.03
 -------- 00:00 0.03 0.02 0.24 1.45 0.01
 07.12.12 01:00 0.02 0.02 0.23 1.44 0.00
 -------- 02:00 0.02 0.02 0.23 1.45 0.01
 -------- 03:00 0.02 0.02 0.19 1.46 0.00
 -------- 04:00 0.02 0.01 0.17 1.40 ----
 -------- 05:00 0.02 0.01 0.20 1.41 0.01
 07.12.12 06:00 0.03 0.02 0.23 1.45 0.01
 -------- 07:00 0.03 0.00 0.20 1.41 0.01
 -------- 08:00 0.02 0.00 0.16 1.40 0.00
 -------- 09:00 0.03 0.00 0.21 1.41 0.01
 -------- 10:00 0.03 0.00 0.21 1.41 0.02
 07.12.12 11:00 0.02 0.00 0.16 1.39 0.01
 -------- 12:00 0.03 0.00 0.19 1.40 0.01
 -------- 13:00 0.03 0.00 0.22 1.42 0.02
 -------- 14:00 0.04 0.00 0.23 1.44 0.03
 -------- 15:00 0.03 0.00 0.21 1.43 0.02
 07.12.12 16:00 0.04 0.00 0.24 1.46 0.02
 -------- 17:00 0.05 0.00 0.24 1.46 0.02
 -------- 18:00 0.08 0.01 0.27 1.56 0.09
 -------- 19:00 0.10 0.02 0.25 1.57 0.09
 -------- 20:00 0.08 0.02 0.22 1.57 0.06
 07.12.12 21:00 0.08 0.02 0.22 1.59 0.08
 -------- 22:00 0.07 0.01 0.20 1.58 0.07
