 Date Time CO SO2 NO2 CHX NO
 01.02.13 12:00 0.02 0.07 0.24 1.58 0.03
 -------- 13:00 0.02 0.05 0.22 1.56 0.03
 -------- 14:00 0.22 0.02 0.20 1.54 0.02
 -------- 15:00 0.09 0.01 0.26 1.57 0.04
 -------- 16:00 0.10 0.02 0.29 1.57 0.04
 01.02.13 17:00 0.10 0.01 0.32 1.58 0.04
 -------- 18:00 0.11 0.01 0.32 1.58 0.03
 -------- 19:00 0.10 0.01 0.27 1.54 0.01
 -------- 20:00 0.10 0.01 0.25 1.52 ----
 -------- 21:00 0.10 0.01 0.28 1.54 0.00
 01.02.13 22:00 0.11 0.01 0.31 1.56 0.02
 -------- 23:00 0.11 0.01 0.29 1.56 0.01
 -------- 00:00 0.10 0.01 0.23 1.51 ----
 -------- 01:00 0.08 0.01 0.16 1.48 ----
 -------- 02:00 0.08 0.00 0.15 1.46 0.01
 02.02.13 03:00 0.06 0.01 0.15 1.45 ----
 -------- 04:00 0.06 0.00 0.13 1.44 ----
 -------- 05:00 0.08 0.00 0.18 1.48 0.01
 -------- 06:00 0.06 0.00 0.19 1.44 0.00
 -------- 07:00 0.03 0.00 0.20 1.44 0.01
 02.02.13 08:00 ---- 0.00 0.15 1.42 ----
 -------- 09:00 0.03 0.01 0.23 1.46 0.01
 -------- 10:00 0.03 0.00 0.20 1.46 0.00
 -------- 11:00 0.03 0.00 0.21 1.46 0.01
 -------- 12:00 0.02 0.01 0.17 1.44 ----
 02.02.13 13:00 0.02 0.01 0.14 1.44 0.00
 -------- 14:00 0.02 0.01 0.16 1.44 0.00
 -------- 15:00 0.02 0.01 0.16 1.45 0.00
 -------- 16:00 0.02 0.01 0.17 1.45 ----
 -------- 17:00 0.03 0.01 0.20 1.45 0.00
 02.02.13 18:00 0.03 0.00 0.22 1.46 ----
 -------- 19:00 0.04 0.00 0.26 1.48 0.00
 -------- 20:00 0.04 0.00 0.27 1.51 0.01
 -------- 21:00 0.04 0.00 0.29 1.52 0.01
 -------- 22:00 0.04 0.00 0.26 1.49 0.01
 02.02.13 23:00 0.03 0.00 0.25 1.49 0.02
 -------- 00:00 0.02 0.00 0.20 1.44 0.01
 -------- 01:00 0.03 0.00 0.22 1.49 0.02
 -------- 02:00 0.04 0.00 0.28 1.56 0.05
 -------- 03:00 0.02 0.00 0.20 1.46 0.02
 03.02.13 04:00 ---- 0.00 0.17 1.46 0.01
 -------- 05:00 ---- 0.00 0.13 1.46 ----
 -------- 06:00 ---- 0.00 0.14 1.45 ----
 -------- 07:00 0.06 0.00 0.14 1.46 ----
 -------- 08:00 0.06 0.00 0.17 1.45 ----
 03.02.13 09:00 0.06 0.00 0.22 1.44 ----
 -------- 10:00 0.06 0.00 0.21 1.44 ----
 -------- 11:00 0.06 0.00 0.19 1.44 ----
